DOI,Title,Predicted_Course
10.1145/3610969.3610982,No More Pencils No More Books: Capabilities of Generative AI on Irish and UK Computer Science School Leaving Examinations,Educational Technology
10.1145/3613372.3614189,A Report on the Use of ChatGPT in Software Engineering and Systems Analysis Courses,Software Engineering
10.1145/3657604.3662036,Evaluating the Effectiveness of LLMs in Introductory Computer Science Education: A Semester-Long Field Study,Introductory Programming
10.1145/3613944.3613946,ChatGPT in Computer Science Curriculum Assessment: An analysis of Its Successes and Shortcomings,Computing Education
10.1145/3587103.3594206,Transformed by Transformers: Navigating the AI Coding Revolution for Computing Education: An ITiCSE Working Group Conducted by Humans,Computing Education
10.1145/3633287,Bob or Bot: Exploring ChatGPT's Answers to University Computer Science Assessment,Academic Integrity in Computer Science Education
10.1145/3626252.3630854,Exploring the Impact of Generative AI for StandUp Report Recommendations in Software Capstone Project Development,Software Engineering
10.1145/3616961.3616974,"""\""Call me Kiran\"" – ChatGPT as a Tutoring Chatbot in a Computer Science Course""",Educational Technology in Computer Science
10.1145/3649217.3653594,Feedback-Generation for Programming Exercises With GPT-4,Introductory Programming
10.1145/3689535.3689554,Not the Silver Bullet: LLM-enhanced Programming Error Messages are Ineffective in Practice,Introductory Programming
10.1145/3657604.3664701,ChatGPT's Performance on Problem Sets in an At-Scale Introductory Computer Science Course,Introductory Programming
10.1145/3680533.3697064,An Eye for an AI: Evaluating GPT-4o's Visual Perception Skills and Geometric Reasoning Skills Using Computer Graphics Questions,Computer Graphics
10.1145/3664646.3664765,A Comparative Analysis of Large Language Models for Code Documentation Generation,Software Engineering
10.1145/3626252.3630928,Solving Proof Block Problems Using Large Language Models,Algorithms and Data Structures
10.1145/3626252.3630960,"Using GPT-4 to Provide Tiered, Formative Code Feedback",Algorithms and Data Structures
10.1145/3639474.3640052,"LLMs Still Can't Avoid Instanceof: An Investigation Into GPT-3.5, GPT-4 and Bard's Capacity to Handle Object-Oriented Programming Assignments",Object-oriented Programming
10.1145/3641237.3691673,Seeing How the Sausage is Made: Data Storytelling as Means and Method in a Computer Science Writing Course,Data Science and Communication
10.1145/3657604.3662040,Combining LLM-Generated and Test-Based Feedback in a MOOC for Programming,Introductory Programming
10.1145/3649409.3691086,Understanding Algorithmic Problem Solving using LLMs,Algorithms and Data Structures
10.1145/3636243.3636256,A Comparative Study of AI-Generated (GPT-4) and Human-crafted MCQs in Programming Education,Introductory Programming
10.1145/3626253.3635543,CAET: Code Analysis and Education Tutor,Introductory Programming
10.1145/3639474.3640058,Let's Ask AI About Their Programs: Exploring ChatGPT's Answers To Program Comprehension Questions,Introductory Programming
10.1145/3632620.3671097,"Using Benchmarking Infrastructure to Evaluate LLM Performance on CS Concept Inventories: Challenges, Opportunities, and Critiques",Computing Education Research
10.1145/3593663.3593695,Experiences with Remote Examination Formats in Light of GPT-4,Software Engineering
10.1145/3568812.3603476,"Generative AI for Programming Education: Benchmarking ChatGPT, GPT-4, and Human Tutors",Introductory Programming
10.1145/3649165.3690101,Experiences from Integrating Large Language Model Chatbots into the Classroom,Educational Technology
10.1145/3636243.3636263,More Than Meets the AI: Evaluating the performance of GPT-4 on Computer Graphics assessment questions,Computer Graphics
10.1145/3643795.3648389,Tackling Students' Coding Assignments with LLMs,Introductory Programming
10.1145/3636243.3636245,Decoding Logic Errors: A Comparative Study on Bug Detection by Students and Large Language Models,Introductory Programming
10.1145/3661167.3661273,An Empirical Study on How Large Language Models Impact Software Testing Learning,Software Engineering
10.1145/3626253.3635403,Mining Students' Mastery Levels from CS Placement Tests via LLMs,Educational Technology in Computer Science
10.1145/3568812.3603474,Evaluating ChatGPT and GPT-4 for Visual Programming,Introductory Programming
10.1145/3626253.3635380,"Mentoring, AI, and the End of Affirmative Action: Connecting with SIGCSE Reads",Computer Science Education
10.1145/3626253.3635408,SQL Query Evaluation with Large Language Model and Abstract Syntax Trees,Databases
10.1145/3626252.3630897,Need a Programming Exercise Generated in Your Native Language? ChatGPT's Got Your Back: Automatic Generation of Non-English Programming Exercises Using OpenAI GPT-3.5,Introductory Programming
10.1145/3639474.3640076,Does ChatGPT Help With Introductory Programming?An Experiment of Students Using ChatGPT in CS1,Introductory Programming
10.1145/3568813.3600139,Exploring the Responses of Large Language Models to Beginner Programmers’ Help Requests,Introductory Programming
10.1145/3649405.3659504,Analyzing Students' Preferences for LLM-Generated Analogies,Computer Science Education
10.1145/3699538.3699581,Fine-Tuning Large Language Models for Better Programming Error Explanations,Introductory Programming
10.1145/3626253.3635601,An LLM-based Reflection Analysis Tool for Identifying and Addressing Challenging Topics,Educational Technology
10.1145/3615886.3627745,Towards Understanding the Geospatial Skills of ChatGPT: Taking a Geographic Information Systems (GIS) Exam,Geographic Information Systems (GIS)
10.1145/3643991.3644926,Whodunit: Classifying Code as Human Authored or GPT-4 Generated - A case study on CodeChef problems,Machine Learning
10.1145/3626253.3635624,Enhancing Code Tracing Question Generation with Refined Prompts in Large Language Models,Computing Education
10.1145/3649217.3653612,Open Source Language Models Can Provide Feedback: Evaluating LLMs' Ability to Help Students Using GPT-4-As-A-Judge,Introductory Programming
10.1145/3545947.3569630,Automatically Generating CS Learning Materials with Large Language Models,Computer Science Education
10.1145/3632620.3671103,Evaluating Contextually Personalized Programming Exercises Created with Generative AI,Introductory Programming
10.1145/3644815.3644969,Innovating Translation: Lessons Learned from BWX Generative Language Engine,Natural Language Processing
10.1145/3691620.3695537,Enhancing Automated Program Repair with Solution Design,Software Engineering
10.1145/3626252.3630937,"Teaching AI to K-12 Learners: Lessons, Issues, and Guidance",Educational Technology in Computer Science
10.1145/3689535.3689546,LLM-aided Pair Programming for Algorithm Tracing,Human-Computer Interaction
10.1145/3626253.3635542,"Evaluating Large Language Model Code Generation as an Autograding Mechanism for ""Explain in Plain English"" Questions",Introductory Programming
10.1145/3661167.3661202,Assessing healthcare software built using IoT and LLM technologies,Software Engineering
10.1145/3636555.3636846,Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,Introductory Programming
10.1145/3633053.3633057,Incorporating Generative AI into Software Development Education,Software Engineering
10.1145/3649165.3690116,Can ChatGPT pass a Theory of Computing Course?,Theory of Computation
10.1145/3587102.3588852,Investigating the Potential of GPT-3 in Providing Feedback for Programming Assessments,Introductory Programming
10.1145/3617650.3624947,"ChatGPT Didn't Take Me Very Far, Did It?",Educational Technology
10.1145/3626253.3635404,The Future of the Error Message: Comparing Large Language Models and Novice Programmer Effectiveness in Fixing Errors,Introductory Programming
10.1145/3568813.3600142,Thrilled by Your Progress! Large Language Models (GPT-4) No Longer Struggle to Pass Assessments in Higher Education Programming Courses,Introductory Programming
10.1145/3649409.3691092,LLM-based Individual Contribution Summarization in Software Projects,Software Engineering
10.1145/3657604.3664665,Propagating Large Language Models Programming Feedback,Educational Technology
10.1145/3634737.3659433,POSTER: Identifying and Mitigating Vulnerabilities in LLM-Integrated Applications,Computer Security
10.1145/3657604.3664663,DevCoach: Supporting Students in Learning the Software Development Life Cycle at Scale with Generative Agents,Software Engineering
10.1145/3660650.3660656,"Faceless Adversary, Feckless Colleague: The Many Sides of ChatGPT",Artificial Intelligence in Education
10.1145/3649217.3653568,Automating Personalized Parsons Problems with Customized Contexts and Concepts,Introductory Programming
10.1145/3626253.3635400,A Comparative Study of Few-Shot vs. Zero-Shot Prompting to Generate Quick and Useful Responses to Students' Periodic Reflections,Natural Language Processing
10.1145/3649217.3653533,"""Like a Nesting Doll"": Analyzing Recursion Analogies Generated by CS Students Using Large Language Models",Introductory Programming
10.1145/3627217.3627233,Evaluating the Quality of LLM-Generated Explanations for Logical Errors in CS1 Student Programs,Introductory Programming
10.1145/3632620.3671112,An Investigation of the Drivers of Novice Programmers' Intentions to Use Web Search and GenAI,Introductory Programming
10.1145/3626252.3630799,Can Language Models Employ the Socratic Method? Experiments with Code Debugging,Introductory Programming
10.1145/3626252.3630863,Evaluating Automatically Generated Contextualised Programming Exercises,Introductory Programming
10.1145/3626253.3635592,Use of Large Language Models for Extracting Knowledge Components in CS1 Programming Exercises,Introductory Programming
10.1145/3649165.3690123,A Benchmark for Testing the Capabilities of LLMs in Assessing the Quality of Multiple-choice Questions in Introductory Programming Education,Introductory Programming
10.1145/3691555.3696825,Test Large Language Models on Driving Theory Knowledge and Skills for Connected Autonomous Vehicles,Autonomous Systems
10.1145/3626253.3633436,Using Large Language Models for Teaching Computing,Computing Education
10.1145/3501709.3544280,Generating Diverse Code Explanations using the GPT-3 Large Language Model,Introductory Programming
10.1145/3639474.3640068,Assessing AI Detectors in Identifying AI-Generated Code: Implications for Education,Artificial Intelligence in Education
10.1145/3649217.3653600,Generation and Evaluation of a Culturally-Relevant CS1 Textbook for Latines using Large Language Models,Introductory Programming
10.1145/3657604.3664697,Using Large Language Models To Diagnose Math Problem-solving Skills At Scale,Educational Technology
10.1145/3636243.3636247,More Robots are Coming: Large Multimodal Models (ChatGPT) can Solve Visually Diverse Images of Parsons Problems,Introductory Programming
10.1145/3587102.3588814,GPT-3 vs Object Oriented Programming Assignments: An Experience Report,Object-oriented Programming
10.1145/3649409.3691076,Challenges and Solutions for Teaching Decomposition and Planning Skills in CS1,Introductory Programming
10.1145/3551349.3559555,Few-shot training LLMs for project-specific code-summarization,Software Engineering
10.1145/3636555.3636889,Code Soliloquies for Accurate Calculations in Large Language Models,Artificial Intelligence
10.1145/3639477.3639720,Assessing LLMs for High Stakes Applications,Artificial Intelligence
10.1145/3633598.3633614,An Analysis of Large Language Models and LangChain in Mathematics Education,Natural Language Processing
10.1145/3699538.3699588,Towards the Integration of Large Language Models and Automatic Assessment Tools: Enhancing Student Support in Programming Assignments,Computer Science Education
10.1145/3691620.3695349,ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts,Computer Security
10.1145/3636243.3636252,Evaluating LLM-generated Worked Examples in an Introductory Programming Course,Introductory Programming
10.1145/3626252.3630817,CS1 with a Side of AI: Teaching Software Verification for Secure Code in the Era of Generative AI,Introductory Programming
10.1145/3643787.3648033,Towards LLM-Generated Code Tours for Onboarding,Software Engineering
10.1145/3632621.3671429,Using a Low-Code Environment to Teach Programming in the Era of LLMs,Introductory Programming
10.1145/3699538.3699541,Unrestricted Use of LLMs in a Software Project Course: Student Perceptions on Learning and Impact on Course Performance,Software Engineering
10.1145/3632620.3671098,Insights from Social Shaping Theory: The Appropriation of Large Language Models in an Undergraduate Programming Course,Introductory Programming
10.1145/3613905.3647967,Enhancing Programming Error Messages in Real Time with Generative AI,Introductory Programming
10.1145/3648188.3680252,Exercises in unimaginativeness. Case study of GPT based translation and travesty of Alfred Jarry's “Ubu King”,Natural Language Processing
10.1145/3643795.3648393,Gauging Tech Community Acceptance of Rapid Prototyping in Unfamiliar Programming Languages using LLM Chatbots,Software Engineering
10.1145/3649165.3690099,Examining the Relationship between Socioeconomic Status and Beliefs about Large Language Models in an Undergraduate Programming Course,Introductory Programming
10.1145/3631700.3665233,Multiple-Choice Question Generation Using Large Language Models: Methodology and Educator Insights,Natural Language Processing
10.1145/3649217.3653596,First Year CS Students Exploring And Identifying Biases and Social Injustices in Text-to-Image Generative AI,Ethics in Computing
10.1145/3671016.3674823,LLM-Enhanced Theorem Proving with Term Explanation and Tactic Parameter Repair✱,Automated Theorem Proving
10.1145/3545947.3573358,The Implications of Large Language Models for CS Teachers and Students,Computing Education
10.1145/3610969.3611132,Generative AI in Software Development Education: Insights from a Degree Apprenticeship Programme,Software Engineering
10.1145/3631802.3631830,CodeHelp: Using Large Language Models with Guardrails for Scalable Support in Programming Classes,Introductory Programming
10.1145/3649405.3659473,Towards the Integration of Large Language Models in an Object-Oriented Programming Course,Object-oriented Programming
10.1145/3632621.3671415,Teens' Ethical Sensemaking About Emerging Technologies,Ethics in Computing
10.1145/3597503.3639187,Using an LLM to Help With Code Understanding,Software Engineering
10.1145/3649217.3653582,"Code Generation Based Grading: Evaluating an Auto-grading Mechanism for ""Explain-in-Plain-English"" Questions",Introductory Programming
10.1145/3617650.3624946,Exploring the Potential of GPT-4 in Automated Mentoring for Programming Courses,Introductory Programming
10.1145/3639474.3640084,Automated Detection of AI-Obfuscated Plagiarism in Modeling Assignments,Computer Science Education
10.1145/3568812.3603482,Using Large Language Models to Automatically Identify Programming Concepts in Code Snippets,Introductory Programming
10.1145/3649217.3653602,Guidelines for the Evolving Role of Generative AI in Introductory Programming Based on Emerging Practice,Introductory Programming
10.1145/3653666.3656065,"""I'm Sorry, but I Can't Assist"": Bias in Generative AI",Ethics in AI
10.1145/3699538.3699546,Students' Perceptions and Use of Generative AI Tools for Programming Across Different Computing Courses,Educational Technology in Computer Science
10.1145/3626253.3635524,Using Notional Machines to Automatically Assess Students' Comprehension of Their Own Code,Introductory Programming
10.1145/3649217.3653584,CS1-LLM: Integrating LLMs into CS1 Instruction,Introductory Programming
10.1145/3587103.3594202,Classifying Course Discussion Board Questions using LLMs,Natural Language Processing
10.1145/3709364,Evaluating Language Models for Assessing Counselor Reflections,Natural Language Processing
10.1145/3626253.3633407,Innovative Strategies for genAI in CS Courses,Artificial Intelligence Education
10.1145/3631802.3631816,Explorotron: An IDE Extension for Guided and Independent Code Exploration and Learning (Discussion Paper),Computing Education Research (CER)
10.1145/3640544.3645215,Human-AI Collaboration in a Student Discussion Forum,Educational Technology in Computer Science
10.1145/3639475.3640097,Greening Large Language Models of Code,Machine Learning
10.1145/3632621.3671424,Exploring Students Solutions to Concurrent and Parallel Programming Exercises – Impact of Generative AI,Concurrent and Parallel Programming
10.1145/3689535.3689543,Exploring Computing Teachers' Readiness to Teach AI in Secondary Schools,Computer Science Education
10.1145/3617650.3624950,Teaching Students To Use Programming Error Messages,Introductory Programming
10.1145/3626252.3630826,Detecting ChatGPT-Generated Code Submissions in a CS1 Course Using Machine Learning Models,Introductory Programming
10.1145/3677525.3678665,Towards Modeling and Evaluating Instructional Explanations in Teacher-Student Dialogues,Educational Technology
10.1145/3657604.3662033,Simulating Climate Change Discussion with Large Language Models: Considerations for Science Communication at Scale,Human-Computer Interaction
10.1145/3699538.3699591,Goodbye Hello World - Research Questions for a Future CS1 Curriculum,Introductory Programming
10.1145/3626252.3630909,Prompt Problems: A New Programming Exercise for the Generative AI Era,Introductory Programming
10.1145/3649217.3653615,"Performance, Workload, Emotion, and Self-Efficacy of Novice Programmers Using AI Code Generation",Introductory Programming
10.1145/3626203.3670628,Improving an NSF ACCESS Program AI Chatbot: Response Data Logistic Regression,Artificial Intelligence
10.1145/3649165.3690094,Integrating AI Tutors in a Programming Course,Introductory Programming
10.1145/3650212.3680328,CREF: An LLM-Based Conversational Software Repair Framework for Programming Tutors,Software Engineering
10.1145/3585059.3611409,Teaching IT Software Fundamentals: Strategies and Techniques for Inclusion of Large Language Models: Strategies and Techniques for Inclusion of Large Language Models,Software Engineering
10.1145/3626252.3630941,The Case for LLM Workshops,Educational Technology
10.1145/3701625.3701687,Exploring the Use of Large Language Models in Requirements Engineering Education: An Experience Report with ChatGPT 3.5,Software Engineering
10.1145/3699538.3699569,Sieving Coding Assignments Over Submissions Generated by AI and Novice Programmers,Computer Science Education
10.1145/3613904.3642947,ClassMeta: Designing Interactive Virtual Classmate to Promote VR Classroom Participation,Human-Computer Interaction
10.1145/3649217.3653558,ChatGPT and Cheat Detection in CS1 Using a Program Autograding System,Introductory Programming
10.1145/3643916.3644435,Reassessing Java Code Readability Models with a Human-Centered Approach,Software Engineering
10.1145/3649217.3653624,Student Perspectives on Using a Large Language Model (LLM) for an Assignment on Professional Ethics,Computing Ethics
10.1145/3597503.3639223,Uncovering the Causes of Emotions in Software Developer Communication Using Zero-shot LLMs,Software Engineering
10.1145/3649217.3653527,Teaching Programming in the Age of Generative AI,Computer Science Education
10.1145/3689904.3694699,The Silicon Ceiling: Auditing GPT’s Race and Gender Biases in Hiring,Ethics in AI and Machine Learning
10.1145/3626252.3630842,Trust in Generative AI among Students: An exploratory study,CS Education (CSEd)
10.1145/3626252.3630784,Attitudes Towards the Use (and Misuse) of ChatGPT: A Preliminary Study,Educational Technology in Computer Science
10.1145/3649165.3690111,Generative AI in Introductory Programming Instruction: Examining the Assistance Dilemma with LLM-Based Code Generators,Introductory Programming
10.1145/3674805.3690758,Debugging with Open-Source Large Language Models: An Evaluation,Software Engineering
10.1145/3626252.3630880,Instructor Perceptions of AI Code Generation Tools - A Multi-Institutional Interview Study,Computing Education
10.1145/3636243.3636249,Patterns of Student Help-Seeking When Using a Large Language Model-Powered Programming Assistant,Introductory Programming
10.1145/3626252.3630881,Integrating Natural Language Processing in Middle School Science Classrooms: An Experience Report,Natural Language Processing
10.1145/3632620.3671092,Debugging with an AI Tutor: Investigating Novice Help-seeking Behaviors and Perceived Learning,Introductory Programming
10.1145/3613905.3637148,Leveraging ChatGPT for Adaptive Learning through Personalized Prompt-based Instruction: A CS1 Education Case Study,Introductory Programming
10.1145/3673238,The Social Cognition Ability Evaluation of LLMs: A Dynamic Gamified Assessment and Hierarchical Social Learning Measurement Approach,Artificial Intelligence
10.1145/3626252.3630828,A Self-Regulated Learning Framework using Generative AI and its Application in CS Educational Intervention Design,Educational Technology in Computer Science
10.1145/3649165.3690100,Synthetic Students: A Comparative Study of Bug Distribution Between Large Language Models and Computing Students,Introductory Programming
10.1145/3652620.3687784,A RAG-based Feedback Tool to Augment UML Class Diagram Learning,Software Engineering
10.1145/3587102.3588785,Comparing Code Explanations Created by Students and Large Language Models,Introductory Programming
10.1145/3631802.3631845,Could ChatGPT Be Used for Reviewing Learnersourced Exercises?,Computing Education
10.1145/3587102.3588805,Evaluating the Performance of Code Generation Models for Solving Parsons Problems With Small Prompt Variations,Computing Education
10.1145/3545947.3573353,Significant Trends in CS Educational Material: Current and Future,Computer Science Education
10.1145/3643795.3648375,Applying Large Language Models to Enhance the Assessment of Parallel Functional Programming Assignments,Parallel Functional Programming
10.1145/3626252.3630951,Towards Comprehensive Metrics for Programming Cheat Detection,Academic Integrity in Computer Science Education
10.1145/3691620.3695508,iSMELL: Assembling LLMs with Expert Toolsets for Code Smell Detection and Refactoring,Software Engineering
10.1145/3687038,"Guiding Students in Using LLMs in Supported Learning Environments: Effects on Interaction Dynamics, Learner Performance, Confidence, and Trust",Educational Technology
10.1145/3649409.3691089,Leveraging Large Language Models for Automated Assessment of Elementary Students' Block-Based Narrative Programs,Educational Technology
10.1145/3650212.3680384,AutoCodeRover: Autonomous Program Improvement,Software Engineering
10.1145/3649217.3653587,Explaining Code with a Purpose: An Integrated Approach for Developing Code Comprehension and Prompting Skills,Introductory Programming
10.1145/3565287.3617630,MSVEC: A Multidomain Testing Dataset for Scientific Claim Verification,Natural Language Processing
10.1145/3501385.3543957,Automatic Generation of Programming Exercises and Code Explanations Using Large Language Models,Introductory Programming
10.1145/3626252.3630887,Learners Teaching Novices: An Uplifting Alternative Assessment,Introductory Programming
10.1145/3686970,TreeQuestion: Assessing Conceptual Learning Outcomes with LLM-Generated Multiple-Choice Questions,Educational Technology
10.1145/3699538.3699567,Student-AI Interaction: A Case Study of CS1 students,Introductory Programming
10.1145/3628096.3628747,Investigating the Efficacy of Large Language Models in Reflective Assessment Methods through Chain of Thought Prompting,Natural Language Processing
10.1145/3581754.3584111,Scaffolding CS1 Courses with a Large Language Model-Powered Intelligent Tutoring System,Introductory Programming
10.1145/3649405.3659517,Active Repos: Integrating Generative AI Workflows into GitHub,Introductory Programming
10.1145/3649217.3653608,Navigating Compiler Errors with AI Assistance - A Study of GPT Hints in an Introductory Programming Course,Introductory Programming
10.1145/3649217.3653626,Style Anomalies Can Suggest Cheating in CS1 Programs,Introductory Programming
10.1145/3626253.3635519,Style Anomalies Can Suggest Cheating in CS1 Programs,Introductory Programming
10.1145/3626253.3635356,How can We Leverage Static Analysis and Large Language Models to Engage Students in Software Quality Improvement,Software Engineering
10.1109/ICSE48619.2023.00194,Large Language Models are Few-Shot Testers: Exploring LLM-Based General Bug Reproduction,Software Engineering
10.1145/3587102.3588794,"ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.",Object-oriented Programming
10.1145/3636243.3636248,The Effects of Generative AI on Computing Students’ Help-Seeking Preferences,Educational Technology in Computing
10.1145/3649217.3653574,Desirable Characteristics for AI Teaching Assistants in Programming Education,Introductory Programming
10.1145/3649405.3659495,Fine-Tuning AI to Assist in Building Curriculum for the CIA Triad and Cyber Kill Chain,Computer Security
10.1145/3511861.3511863,The Robots Are Coming: Exploring the Implications of OpenAI Codex on Introductory Programming,Introductory Programming
10.1145/3652988.3673941,LittleGenius: Co-Designing a GPT-4 Enhanced VR Pedagogical Framework with Teachers for Primary Education,Human-Computer Interaction
10.1145/3576123.3576134,My AI Wants to Know if This Will Be on the Exam: Testing OpenAI’s Codex on CS2 Programming Exercises,Algorithms and Data Structures
10.1145/3626253.3635522,Using Generative AI to Support PK-12 Teaching and Learning: Developing Sample Lessons and More,Educational Technology
10.1145/3636243.3636259,Next-Step Hint Generation for Introductory Programming Using Large Language Models,Introductory Programming
10.1145/3649409.3691073,AI in and for K-12 Informatics Education. Life after Generative AI.,Educational Technology
10.1145/3626252.3630874,Implications of ChatGPT for Data Science Education,Data Science Education
10.1145/3657604.3664673,Automatic Feedback Generation on K-12 Students' Data Science Education by Prompting Cloud-based Large Language Models,Educational Technology in Data Science
10.1145/3626772.3657882,Beyond Accuracy: Investigating Error Types in GPT-4 Responses to USMLE Questions,Natural Language Processing
10.1145/3626253.3633433,Teaching with AI (GPT),Educational Technology
10.1145/3626252.3630773,"AI Teaches the Art of Elegant Coding: Timely, Fair, and Helpful Style Feedback in a Global Course",Introductory Programming
10.1145/3691016.3691051,Intelligent Chinese Character Learning Platform Integrating ChatGPT and OCR Text Recognition,Human-Computer Interaction
10.1145/3545945.3569770,Using Large Language Models to Enhance Programming Error Messages,Introductory Programming
10.1145/3657604.3662042,Supporting Self-Reflection at Scale with Large Language Models: Insights from Randomized Field Experiments in Classrooms,Educational Technology
10.1145/3637528.3671552,EmoLLMs: A Series of Emotional Large Language Models and Annotation Tools for Comprehensive Affective Analysis,Natural Language Processing (NLP)
10.1145/3689535.3689552,"Secondary Students' Emerging Conceptions of AI: Understanding AI Applications, Models, Engines and Implications",Artificial Intelligence Education
10.1145/3631802.3631806,How Novices Use LLM-based Code Generators to Solve CS1 Coding Tasks in a Self-Paced Learning Environment,Introductory Programming
10.1145/3664646.3664758,Unveiling the Potential of a Conversational Agent in Developer Support: Insights from Mozilla’s PDF.js Project,Software Engineering
10.1145/3611643.3613892,InferFix: End-to-End Program Repair with LLMs,Software Engineering
10.1145/3626252.3630761,A Global Survey of Introductory Programming Courses,Introductory Programming
10.1145/3701625.3701684,Integrating ChatGPT in Project Management Education: Benefits and Challenges in the Academic Environment,Software Engineering
10.1145/3663529.3663869,Do Large Language Models Recognize Python Identifier Swaps in Their Generated Code?,Machine Learning
10.1145/3626203.3670588,Integrating High Performance Computing into Higher Education and the Pedagogy of Cluster Computing,High Performance Computing (HPC)
10.1145/3626253.3635604,Measuring CS Student Attitudes Toward Large Language Models,Educational Technology in Computer Science
10.1145/3649165.3703622,How Do You Solve A Problem Like Recruitment? On The Hiring and Retention of Computing Academics,Computing Education and Diversity
10.1145/3691620.3695307,The Software Genome Project: Unraveling Software Through Genetic Principles,Software Engineering
10.1145/3675094.3677573,"Interactive Design with Autistic Children using LLM and IoT for Personalized Training: The Good, The Bad and The Challenging",Human-Computer Interaction
10.1145/3643991.3645070,Write me this Code: An Analysis of ChatGPT Quality for Producing Source Code,Software Engineering
10.1145/3691620.3695061,What Makes a High-Quality Training Dataset for Large Language Models: A Practitioners' Perspective,Machine Learning
10.1145/3674399.3674423,Data-driven Contribution-based Disciplinary Assessment System,Computer Science Education
