DOI,Title,Category,Description
10.1145/3624720,Computing Education in the Era of Generative AI,Computing Education,"The paper explores the challenges and opportunities that arise in computing education due to the advent of large language models (LLMs) capable of generating accurate source code from natural-language problem descriptions, highlighting the need for educators and students to adapt to these technological advancements."
10.1145/3610969.3610982,No More Pencils No More Books: Capabilities of Generative AI on Irish and UK Computer Science School Leaving Examinations,Artificial Intelligence,"The paper evaluates the performance of ChatGPT (GPT-4) on UK A-Level and Irish Leaving Certificate computer science exams, highlighting its ability to achieve high marks and identifying areas where it struggles, such as questions involving symbols or images. The study provides insights into the strengths and weaknesses of these exams in the context of generative AI, with implications for exam design and marking schemes."
10.1145/3613944.3613946,ChatGPT in Computer Science Curriculum Assessment: An analysis of Its Successes and Shortcomings,Computing Education,"The paper evaluates the use of ChatGPT as a tool for learning and assessment in undergraduate Computer Science courses, specifically focusing on programming challenges in a Data Structures and Algorithms course. It finds that while ChatGPT can enhance student performance, it also introduces inconsistencies and inaccuracies, highlighting both the potential benefits and challenges of integrating AI tools into higher education curricula."
10.1145/3587103.3594206,Transformed by Transformers: Navigating the AI Coding Revolution for Computing Education: An ITiCSE Working Group Conducted by Humans,Computing Education,The paper documents the current state-of-the-art in code generation using large language models (LLMs) and explores their potential applications and challenges in computing education. It provides actionable strategies for integrating these technologies into educational curricula to enhance learning and teaching processes.
10.1145/3633287,Bob or Bot: Exploring ChatGPT's Answers to University Computer Science Assessment,Artificial Intelligence,"The paper investigates the impact of ChatGPT on university computer science assessments by evaluating its ability to generate passing answers for undergraduate modules, while failing postgraduate ones. It highlights the implications of generative AI on academic integrity and quality assurance, providing insights into detection methods and the potential for AI-generated content to affect educational assessments."
10.1145/3649409.3691086,Understanding Algorithmic Problem Solving using LLMs,Artificial Intelligence,"The paper investigates the capability of Large Language Models (LLMs), specifically GPT-4o, in assisting students with algorithmic problem solving by using prompt refinement techniques. It demonstrates that LLMs can effectively translate problem statements into natural language descriptions, code solutions, correctness arguments, and runtime analyses, particularly excelling with problems similar to those encountered during training."
10.1145/3632620.3671097,"Using Benchmarking Infrastructure to Evaluate LLM Performance on CS Concept Inventories: Challenges, Opportunities, and Critiques",Artificial Intelligence,"The paper investigates the use of automated benchmarking frameworks to evaluate the performance of large language models (LLMs) on computer science concept inventories, highlighting the challenges and opportunities in this approach. It provides insights into LLM capabilities in computing education tasks, identifies areas where LLMs struggle, and discusses methodological challenges, ultimately aiming to enhance the design of computing assessments in light of LLM advancements."
10.1145/3593663.3593695,Experiences with Remote Examination Formats in Light of GPT-4,Education Technology,"The paper investigates the impact of GPT-4 on remote examination formats in a Software Engineering BSc program, comparing oral and open-book exams. It finds that while GPT-4 can compromise open-book exams, grade distributions remain stable across formats, suggesting oral exams as a viable alternative despite increased teacher workload and stress."
10.1145/3568812.3603474,Evaluating ChatGPT and GPT-4 for Visual Programming,Artificial Intelligence,"The paper evaluates the performance of ChatGPT and GPT-4 in visual programming environments used in K-8 education, such as Scratch and Code.org's Maze Challenge. It finds that these models struggle with tasks requiring spatial, logical, and programming skills, highlighting the need for new benchmarks to assess and improve future AI models in visual programming contexts."
10.1145/3545947.3569630,Automatically Generating CS Learning Materials with Large Language Models,Computer Science Education,"The paper explores the use of Large Language Models (LLMs) to automatically generate computer science learning materials, such as code explanations and programming assignments, highlighting their potential to enhance student interaction with code and assist instructors in scaling educational resources. It also addresses the implications of LLMs on academic integrity, curriculum design, and software engineering careers, and engages educators in evaluating and brainstorming their integration into pedagogy and research."
10.1145/3636555.3636846,Automating Human Tutor-Style Programming Feedback: Leveraging GPT-4 Tutor Model for Hint Generation and GPT-3.5 Student Model for Hint Validation,Artificial Intelligence,"The paper introduces a novel technique, GPT4HINTS-GPT3.5VAL, which utilizes GPT-4 to generate human tutor-style programming hints and GPT-3.5 to validate these hints for quality. This approach aims to enhance the quality of automated feedback in programming education, demonstrating its effectiveness through evaluations on datasets of Python programs."
10.1145/3568813.3600142,Thrilled by Your Progress! Large Language Models (GPT-4) No Longer Struggle to Pass Assessments in Higher Education Programming Courses,Artificial Intelligence,"The paper evaluates the performance of GPT-4 in passing assessments from introductory and intermediate Python programming courses, demonstrating significant improvements over previous GPT models. It highlights GPT-4's ability to pass these courses autonomously, suggesting a need for educators to reconsider assessment designs and teaching methods in light of advanced AI capabilities."
10.1145/3632620.3671112,An Investigation of the Drivers of Novice Programmers' Intentions to Use Web Search and GenAI,Human-Computer Interaction,"The paper investigates the factors influencing novice programmers' intentions to use web search and Generative AI (GenAI) tools in educational settings, contrasting perceptions between freshmen and seniors. It identifies key behavioral factors, such as perceived benefits and justifiability, that affect tool usage intentions and provides insights for educators on how to guide resource usage in classrooms."
10.1145/3626253.3633436,Using Large Language Models for Teaching Computing,Human-Computer Interaction,"The paper explores the integration of large language models (LLMs) into computing education, proposing their use as tools to enhance learning by allowing students to interact with LLMs and understand their limitations, thereby equipping educators with strategies to effectively incorporate LLMs into their teaching practices."
10.1145/3501709.3544280,Generating Diverse Code Explanations using the GPT-3 Large Language Model,Artificial Intelligence,"The paper explores the use of the GPT-3 large language model to automatically generate diverse natural language explanations for code snippets, aiming to enhance learning by providing multiple perspectives on code understanding. The main contribution is a systematic analysis of GPT-3's ability to produce varied explanations, highlighting three specific use cases within an evolving design space for AI-generated code explanations."
10.1145/3639474.3640068,Assessing AI Detectors in Identifying AI-Generated Code: Implications for Education,Artificial Intelligence,"The paper conducts an empirical study to evaluate the effectiveness of AI-generated content detectors in distinguishing between human-written and AI-generated code, using a dataset of Python solutions from various sources. The study reveals that current detectors struggle to accurately identify AI-generated code, highlighting potential challenges for educators in preventing academic misconduct."
10.1145/3657604.3664697,Using Large Language Models To Diagnose Math Problem-solving Skills At Scale,Artificial Intelligence,"The paper introduces a large language model (LLM) pipeline designed to diagnose elementary school students' math problem-solving skills at scale by analyzing their answers through a framework called PERC, which breaks down problem-solving into four stages. The main contribution is the development and evaluation of this pipeline, which uses rubrics to assess each stage of problem-solving, demonstrating improved diagnostic accuracy over standard LLMs like GPT-3.5 and GPT-4."
10.1145/3649165.3690099,Examining the Relationship between Socioeconomic Status and Beliefs about Large Language Models in an Undergraduate Programming Course,Human-Computer Interaction,"The paper investigates the relationship between socioeconomic status and students' perceptions and usage of large language models (LLMs) in an undergraduate programming course. It finds that higher socioeconomic status correlates with a belief in LLMs' potential for career success, while lower-SES students view LLMs as useful for learning but not crucial for long-term career success, highlighting the influence of social and cultural factors on technology perception."
10.1145/3545947.3573358,The Implications of Large Language Models for CS Teachers and Students,Human-Computer Interaction,"The paper discusses the implications of Large Language Models (LLMs) in computer science education, focusing on their potential benefits and drawbacks for both students and teachers. It aims to raise awareness and foster a community around the use of LLMs in educational settings, facilitating discussions on their role and impact in enhancing learning experiences."
10.1145/3610969.3611132,Generative AI in Software Development Education: Insights from a Degree Apprenticeship Programme,Software Engineering,"The paper explores the integration of ChatGPT into assignments within a Software Engineering Degree Apprenticeship program, providing insights into the perceptions of both learners and employers regarding the use of generative AI in educational settings."
10.1145/3597503.3639187,Using an LLM to Help With Code Understanding,Human-Computer Interaction,"The paper investigates the use of a large language model (LLM) integrated into an IDE to assist with code understanding by providing explanations, API details, and usage examples without requiring explicit prompts. Through a user study, the authors demonstrate that this LLM-based tool enhances task completion compared to traditional web search, highlighting its potential as a valuable resource for both students and professional developers."
10.1145/3649217.3653602,Guidelines for the Evolving Role of Generative AI in Introductory Programming Based on Emerging Practice,Computer Science Education,"The paper examines the integration of Generative AI in introductory programming courses by analyzing early adopter practices and synthesizing insights from recent studies. It proposes flexible guidelines for instructors to adapt their teaching methods, highlighting key considerations for incorporating GenAI into CS1 courses."
10.1145/3699538.3699546,Students' Perceptions and Use of Generative AI Tools for Programming Across Different Computing Courses,Human-Computer Interaction,"This paper investigates how students in various computing courses perceive and utilize generative AI tools for programming tasks, analyzing responses from surveys conducted over three academic terms. The study contributes to understanding how GenAI tool usage varies across different educational contexts and evolves over time, offering insights into aligning GenAI use with course learning objectives."
10.1145/3585059.3611409,Teaching IT Software Fundamentals: Strategies and Techniques for Inclusion of Large Language Models: Strategies and Techniques for Inclusion of Large Language Models,Computer Science Education,"The paper discusses the integration of AI Large Language Models (LLMs) into IT undergraduate courses focused on software fundamentals, proposing strategies to incorporate these tools in a way that enhances learning without compromising students' understanding of core software concepts. It highlights the importance of familiarizing students with LLMs like OpenAI Codex and GitHub Copilot, which are prevalent in the industry, while ensuring they still learn essential skills such as coding and debugging."
10.1145/3626252.3630941,The Case for LLM Workshops,Human-Computer Interaction,"The paper presents a case study on developing workshops for faculty at small liberal arts universities to educate them on the responsible use of Large Language Models (LLMs) in teaching. It contributes an intellectual framework and practical strategies for integrating LLMs into curricula, addressing ethical considerations, and modifying assignments to incorporate and withstand LLM usage."
10.1145/3649217.3653527,Teaching Programming in the Age of Generative AI,Computer Science Education,"The paper explores the impact of generative AI on programming education, questioning the traditional role of programming in computer science curricula and proposing a reevaluation of its place in education. It argues for a nuanced approach to teaching programming, considering it both as part of a comprehensive curriculum and as a vocational skill, using philosophical and literary frameworks to interpret these changes."
10.1145/3626252.3630784,Attitudes Towards the Use (and Misuse) of ChatGPT: A Preliminary Study,Human-Computer Interaction,"This paper conducted an online survey to assess computer science students' awareness, experience, and attitudes towards ChatGPT, finding that while it is primarily used as a study tool, there is a minority who misuse it, highlighting the need for educators to adapt teaching strategies and guidelines for its use in academic settings."
10.1145/3674805.3690758,Debugging with Open-Source Large Language Models: An Evaluation,Software Engineering,"This paper evaluates the performance of open-source large language models in debugging tasks by testing five models on the DebugBench benchmark, which includes over 4000 buggy code instances in Python, Java, and C++. The study finds that open-source LLMs can achieve debugging success rates between 43.9% and 66.6%, with DeepSeek-Coder performing best across all tested programming languages."
10.1145/3626252.3630880,Instructor Perceptions of AI Code Generation Tools - A Multi-Institutional Interview Study,Human-Computer Interaction,"The paper conducted a multi-institutional interview study with 12 instructors from Australia, Finland, and New Zealand to explore their perceptions, practices, concerns, and planned adaptations regarding AI code generation tools in computing education, aiming to inform new pedagogical strategies and foster dialogue between researchers and educators."
10.1145/3626252.3630881,Integrating Natural Language Processing in Middle School Science Classrooms: An Experience Report,Human-Computer Interaction,"The paper reports on the integration of natural language processing (NLP) into middle school science classrooms, involving 98 students across two US states. It details the development of an NLP-based interactive visualization platform and learning activities, aiming to enhance student engagement and understanding of NLP, and provides practical insights and guidelines for educators and curriculum designers in K-12 education."
10.1145/3626252.3630828,A Self-Regulated Learning Framework using Generative AI and its Application in CS Educational Intervention Design,Human-Computer Interaction,"The paper proposes a self-regulated learning framework that integrates generative AI tools to enhance programming problem-solving skills in novices, addressing both the challenges and opportunities these technologies present for self-regulation strategies in computer science education. The main contribution is the exploration and design of educational interventions that leverage generative AI to promote effective self-regulated learning strategies."
10.1145/3587102.3588805,Evaluating the Performance of Code Generation Models for Solving Parsons Problems With Small Prompt Variations,Artificial Intelligence,"The paper evaluates the performance of the OpenAI Codex model in solving Parsons problems, which involve reordering scrambled lines of code, to assess its applicability in computing education. It finds that Codex successfully reorders the code blocks about half the time, highlighting the model's limitations in structured problem-solving tasks and the impact of prompt variations on its performance."
10.1145/3545947.3573353,Significant Trends in CS Educational Material: Current and Future,Computer Science Education,"The paper explores current and future trends in computer science educational materials, emphasizing the integration of AI tools like OpenAI CodeX and GPT-3 in teaching programming. It highlights the shift from traditional textbooks to interactive online learning systems and discusses the challenges and opportunities for interoperability with educational platforms, contributing to the development of the ""Future of CS educational materials"" document for the CS2023 curriculum."
10.1145/3686970,TreeQuestion: Assessing Conceptual Learning Outcomes with LLM-Generated Multiple-Choice Questions,Human-Computer Interaction,"The paper introduces TreeQuestion, a human-in-the-loop system that leverages large language models to generate multiple-choice questions for assessing students' conceptual learning outcomes, aiming to reduce the time teachers spend on creating and grading assessments. The study found that TreeQuestion-generated questions resulted in similar student performance compared to traditional open-ended questions, while significantly decreasing the teachers' workload."
10.1145/3636243.3636248,The Effects of Generative AI on Computing Students’ Help-Seeking Preferences,Human-Computer Interaction,"This paper investigates the impact of generative AI tools on the help-seeking behaviors of computing students, revealing that while these tools are increasingly adopted, they have not replaced traditional resources. The study highlights the need for developing skills to effectively use AI for help-seeking and discusses implications for integrating AI into educational settings."
10.1145/3545945.3569770,Using Large Language Models to Enhance Programming Error Messages,Human-Computer Interaction,"The paper explores the use of large language models to enhance programming error messages by providing explanations and suggestions, making them more understandable and actionable for novice programmers. This approach demonstrates the potential of language models to improve educational tools in computing, offering insights into their benefits and limitations."
10.1145/3664646.3664758,Unveiling the Potential of a Conversational Agent in Developer Support: Insights from Mozilla’s PDF.js Project,Software Engineering,"The paper introduces DevMentorAI, a conversational agent designed to assist developers in Open Source Software projects by leveraging foundation models and the Retrieval Augmented Generation (RAG) architecture to provide relevant answers to developer queries. Through a case study on Mozilla's PDF.js project, the tool demonstrated its potential to enhance developer support by delivering satisfactory responses, thereby reducing the workload on core developers."
10.1145/3674399.3674423,Data-driven Contribution-based Disciplinary Assessment System,Computer Science Education,"The paper introduces a data-driven, contribution-based disciplinary assessment system for Computer Science Education that evaluates both theoretical and practical contributions. By integrating intelligent algorithms and a Large Language Model, the system automates data collection and analysis, reducing the workload on educators and aligning discipline development with societal needs."
10.1145/3631991.3632024,Roles of ChatGPT in virtual teaching assistant and intelligent tutoring system: opportunities and challenges,Artificial Intelligence,"The paper explores the potential roles and challenges of using ChatGPT, specifically GPT-4, as a Virtual Teaching Assistant and Intelligent Tutoring System in education. It conducts a comprehensive literature review to assess the benefits and challenges, such as response reliability and data privacy, providing insights for educators, policymakers, and developers to effectively integrate AI into educational settings."
10.1145/3657604.3662031,Generative Students: Using LLM-Simulated Student Profiles to Support Question Item Evaluation,Artificial Intelligence,"The paper introduces ""Generative Students,"" a method using large language models (LLMs) to simulate student profiles for evaluating multiple-choice questions (MCQs). By generating responses based on simulated knowledge components, the approach aligns well with real student responses, aiding instructors in improving question quality through insights from these generative profiles."
10.1145/3657604.3662030,Automated Generation and Tagging of Knowledge Components from Multiple-Choice Questions,Artificial Intelligence,"The paper explores the use of GPT-4 to automate the generation and tagging of Knowledge Components (KCs) for multiple-choice questions in Chemistry and E-Learning, comparing the effectiveness of AI-generated KCs with those created by humans. It demonstrates that AI-generated KCs are often preferred by experts and introduces an ontology induction algorithm to cluster questions by similar KCs, enhancing the automation of assessment item classification without requiring predefined labels."
10.1145/3632620.3671108,Probeable Problems for Beginner-level Programming-with-AI Contests,Human-Computer Interaction,"The paper introduces ""Probeable Problems,"" a novel type of beginner-level programming contest problem designed to remain challenging even with the use of AI code-generation tools by omitting certain details and allowing participants to probe for these details through clarifying questions. The main contribution is the demonstration of this approach's effectiveness in maintaining problem-solving engagement in a programming contest setting, as evidenced by a study involving undergraduate students."
10.1145/3626252.3630958,Use of AI-driven Code Generation Models in Teaching and Learning Programming: a Systematic Literature Review,Artificial Intelligence in Education,"This paper conducts a systematic literature review of 21 studies to evaluate the use of LLM-based code generation models in programming education, highlighting their roles in generating assignments, evaluating student work, and acting as virtual tutors. It identifies both the potential benefits and risks, such as accuracy limitations and academic misconduct, emphasizing the need for careful integration into educational practices."
10.1145/3585059.3611447,"ChatGPT in IT Education Ecosystem: Unraveling Long-Term Impacts on Job Market, Student Learning, and Ethical Practices",Artificial Intelligence in Education,"The paper investigates the long-term impacts of integrating ChatGPT into IT education, focusing on its effects on job market dynamics, student learning attitudes, and ethical practices. It provides insights into how ChatGPT may influence job automation, student skill development, and proposes methods to promote ethical use of AI in educational settings."
10.1145/3689535.3689538,Developing Computing Teacher Guidance on GenAI,Human-Computer Interaction,"The paper established a working group of computing teachers to develop a guidance booklet on the use of Generative AI in educational settings, highlighting the effectiveness of teacher-researcher collaborations in creating practical resources for schools."
10.1145/3585059.3611445,Exploring the Role of ChatGPT in Education: Applications and Challenges,Artificial Intelligence,"The paper investigates the applications and challenges of using ChatGPT in the education sector, highlighting its potential to enhance personalized learning and streamline educational tasks, while also addressing concerns such as academic dishonesty and the difficulty in detecting AI-generated content."
10.1145/3676281,ChatGPT on ChatGPT: An Exploratory Analysis of its Performance in the Public Sector Workplace,Artificial Intelligence,"The paper conducts an exploratory analysis of ChatGPT's impact on the public sector workforce in the United States, assessing its potential for task automation and augmentation across various occupations. It identifies tasks susceptible to automation, highlights essential skills for the future, and proposes a framework for adapting workforce development and educational curricula to integrate AI technologies effectively."
10.1145/3613904.3642377,Learning Agent-based Modeling with LLM Companions: Experiences of Novices and Experts Using ChatGPT &amp; NetLogo Chat,Human-Computer Interaction,"The paper investigates the use of Large Language Models (LLMs) like ChatGPT to assist in learning and practicing agent-based modeling (ABM) with NetLogo, highlighting differences in perceptions and needs between novice and expert users. It identifies key areas such as guidance, personalization, and integration as essential for enhancing LLM-based interfaces to better support ABM programming."
10.1145/3652620.3687773,Designing and Generating Lesson Plans combining Open Educational Content and Generative AI,Educational Technology,"The paper presents a method for creating lesson plans for complex subjects like Model-Driven Engineering by integrating Open Educational Resources with generative AI techniques. It introduces a metamodel to guide educators in defining learning objectives and activities, supported by tools that facilitate the development of teaching materials, demonstrating the approach's potential in enhancing educational content design."
10.1145/3613904.3642081,Understanding the Role of Large Language Models in Personalizing and Scaffolding Strategies to Combat Academic Procrastination,Human-Computer Interaction,"The paper explores the potential of large language models (LLMs) to personalize interventions for academic procrastination by conducting interviews and focus groups with students and experts. It identifies the need for LLMs to offer structured, deadline-oriented advice and adaptive questioning, providing design implications for developing LLM-based tools to manage procrastination effectively."
10.1145/3689535.3689553,Exploring Human-Centered Approaches in Generative AI and Introductory Programming Research: A Scoping Review,Human-Computer Interaction,"This paper conducts a scoping review of 28 studies to assess the integration of generative artificial intelligence in introductory programming education, highlighting benefits, concerns, and gaps such as insufficient pedagogical guidance and limited student perspective consideration. It emphasizes the need for more human-centered research approaches and provides recommendations for future studies to enhance the understanding of AI's role in programming education."
10.1145/3652620.3687782,DSL-Xpert: LLM-driven Generic DSL Code Generation,Programming Languages,"The paper introduces DSL-Xpert, a tool that leverages large language models (LLMs) to perform semantic parsing, translating natural language instructions into code for domain-specific languages (DSLs). By using grammar prompting and few-shot learning, the tool enhances the ability of LLMs to generate reliable DSL code, thereby improving development efficiency and understanding of less-known DSLs."
10.1145/3593342.3593360,Exploring ChatGPT’s impact on post-secondary education: A qualitative study,Human-Computer Interaction,"The paper conducts a qualitative study to explore the perceptions of students and faculty regarding the use of ChatGPT in post-secondary education, focusing on its incorporation and the responses of instructors. It highlights issues such as plagiarism and assessment methods, and suggests the need for guidelines and reporting practices, contributing to the understanding of ChatGPT's role and challenges in higher education."
10.1145/3626253.3635432,Google Colab for Teaching CS and ML,Human-Computer Interaction,"The paper discusses the use of Google Colab as a tool for teaching computer science and machine learning, highlighting its ability to provide equitable access to computational resources and AI/ML instruction. It also introduces new features such as Google Classroom integration and AI coding capabilities using Google's Gemini model, aiming to enhance the educational experience and gather feedback on these innovations."
10.1145/3638067.3638100,May We Consult ChatGPT in Our Human-Computer Interaction Written Exam? An Experience Report After a Professor Answered Yes,Human-Computer Interaction,"The paper explores the implications of allowing students to use ChatGPT during a Human-Computer Interaction written exam, analyzing how the AI can assist with certain types of questions while still maintaining the integrity of assessing higher-level learning outcomes. It uses Bloom's taxonomy to evaluate the effectiveness of ChatGPT in solving exam questions and discusses the need for questions that require mediation and deeper understanding, contributing to the discourse on adapting educational assessment practices in the context of generative AI."
10.1145/3657604.3664699,Scaling Up Mastery Learning with Generative AI: Exploring How Generative AI Can Assist in the Generation and Evaluation of Mastery Quiz Questions,Artificial Intelligence,"The paper explores the use of generative AI, specifically large language models, to automate the generation and evaluation of quiz questions for mastery learning, a pedagogical approach that requires students to achieve proficiency before advancing. It introduces a framework for assessing AI-generated content against teacher-designed rubrics, aiming to enhance the scalability and effectiveness of mastery-based instruction."
10.1145/3568813.3600138,"From ""Ban It Till We Understand It"" to ""Resistance is Futile"": How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot",Human-Computer Interaction,"The paper investigates how university programming instructors plan to adapt their teaching strategies in response to the increasing use of AI code generation and explanation tools like ChatGPT and GitHub Copilot by students. Through interviews with instructors from various countries, the study captures diverse perspectives and proposes open research questions on integrating AI tools into computing education, highlighting the lack of consensus on best practices."
10.1145/3643991.3645072,Analyzing Developer Use of ChatGPT Generated Code in Open Source GitHub Projects,Software Engineering,"The paper conducts an empirical study on the integration of ChatGPT-generated code snippets in open-source GitHub projects, revealing that a significant portion of these snippets remain unchanged after being added. The study provides insights into the use of AI-generated code in software development, emphasizing the need for careful review and modification before integration to enhance AI-assisted programming tools."
10.1145/3649165.3699863,Artificial Intelligence Policy: What Computing Educators and Students Should Know,Artificial Intelligence,"The paper discusses the importance of integrating AI policy education into computing curricula, highlighting recent global AI policy developments and their implications for educators and students. It emphasizes the need for future professionals to understand policy, ethics, and justice in AI to foster public trust and balance innovation with safety."
10.1145/3643991.3645083,Investigating the Utility of ChatGPT in the Issue Tracking System: An Exploratory Study,Software Engineering,"This paper explores the use of ChatGPT in issue tracking systems, focusing on how developers interact with the AI tool to resolve software issues. The study finds that while developers frequently use ChatGPT for brainstorming, they often prefer writing their code due to concerns about the reliability of AI-generated code, as evidenced by the use of the NiCad clone detection tool to assess code integration."
10.1145/3649217.3653607,Iterative Student Program Planning using Transformer-Driven Feedback,Human-Computer Interaction,"The paper explores the use of large language models (LLMs) to provide iterative feedback on student programming plans by generating code and evaluating it against expert-defined test suites. It demonstrates the potential of LLMs to assist in educational settings, while also identifying challenges and limitations in their application, particularly in large-scale courses."
10.1145/3589335.3641257,"Curriculum Learning: Theories, Approaches, Applications, Tools, and Future Directions in the Era of Large Language Models",Machine Learning,"The paper provides a comprehensive tutorial on curriculum learning, a paradigm in machine learning that mimics human learning by progressing from easy to hard data, highlighting its theories, approaches, applications, tools, and future directions, particularly in the context of large language models. It aims to introduce and advocate for curriculum learning's potential to enhance model generalization and convergence across various domains, addressing a gap in existing educational resources."
10.1145/3675812.3675874,Generative AI-Powered Educational Alignment: A Framework for Matching Syllabus Course Topics with Web Description,Artificial Intelligence,"The paper presents a framework that leverages generative AI to align online course descriptions with actual course syllabi, using models like BERT and GPT-2 to identify and rectify mismatches. This approach aims to enhance course preparation, improve student satisfaction, and support curriculum development in higher education by ensuring consistency between course offerings and descriptions."
10.1145/3627217.3627238,Creating Thorough Tests for AI-Generated Code is Hard,Software Engineering,The paper investigates the challenges of creating thorough test suites for code generated by Large Language Models (LLMs) and evaluates 27 test suites from the EvalPlus dataset to highlight these difficulties. It identifies deficiencies in existing test suites and proposes strategies to enhance students' abilities to develop more effective test suites for detecting subtle bugs in LLM-generated code.
10.1145/3661167.3661226,Leveraging Large Language Models for Preliminary Security Risk Analysis: A Mission-Critical Case Study,Computer Security,"The paper explores the use of fine-tuned large language models (LLMs) to assist in preliminary security risk analysis (PSRA) for mission-critical scenarios. It demonstrates that LLMs can reduce errors, speed up risk detection, and minimize false positives and negatives compared to human experts, leading to cost savings and allowing experts to focus on more detailed analyses."
