doi,title,relevance,category,explanation
10.1145/3649217.3653533,"""Like a Nesting Doll"": Analyzing Recursion Analogies Generated by CS Students Using Large Language Models",RELEVANT,lower-computing,year computing]
10.1145/3627217.3627233,Evaluating the Quality of LLM-Generated Explanations for Logical Errors in CS1 Student Programs,RELEVANT,lower-computing,[CS1]
10.1145/3626252.3630799,Can Language Models Employ the Socratic Method? Experiments with Code Debugging,RELEVANT,lower-computing,[introductory programming]
10.1145/3626252.3630863,Evaluating Automatically Generated Contextualised Programming Exercises,RELEVANT,lower-computing,[introductory programming]
10.1145/3626253.3635592,Use of Large Language Models for Extracting Knowledge Components in CS1 Programming Exercises,RELEVANT,lower-computing,[CS1]
10.1145/3649165.3690123,A Benchmark for Testing the Capabilities of LLMs in Assessing the Quality of Multiple-choice Questions in Introductory Programming Education,RELEVANT,lower-computing,[introductory programming]
10.1145/3649217.3653600,Generation and Evaluation of a Culturally-Relevant CS1 Textbook for Latines using Large Language Models,RELEVANT,lower-computing,[CS1]
10.1145/3636243.3636247,More Robots are Coming: Large Multimodal Models (ChatGPT) can Solve Visually Diverse Images of Parsons Problems,RELEVANT,lower-computing,[introductory courses]
10.1145/3649409.3691076,Challenges and Solutions for Teaching Decomposition and Planning Skills in CS1,RELEVANT,lower-computing,[CS1]
10.1145/3636243.3636252,Evaluating LLM-generated Worked Examples in an Introductory Programming Course,RELEVANT,lower-computing,[Introductory Programming Course]
10.1145/3626252.3630817,CS1 with a Side of AI: Teaching Software Verification for Secure Code in the Era of Generative AI,RELEVANT,lower-computing,[CS1]
10.1145/3632621.3671429,Using a Low-Code Environment to Teach Programming in the Era of LLMs,NOT_RELEVANT,,[N/A]
10.1145/3632620.3671098,Insights from Social Shaping Theory: The Appropriation of Large Language Models in an Undergraduate Programming Course,RELEVANT,lower-computing,[Undergraduate Programming Course]
10.1145/3613905.3647967,Enhancing Programming Error Messages in Real Time with Generative AI,NOT_RELEVANT,,[N/A]
10.1145/3649217.3653596,First Year CS Students Exploring And Identifying Biases and Social Injustices in Text-to-Image Generative AI,RELEVANT,lower-computing,[Introductory Computing Course]
10.1145/3631802.3631830,CodeHelp: Using Large Language Models with Guardrails for Scalable Support in Programming Classes,RELEVANT,lower-computing,Year Computer and Data Science Course]
10.1145/3617650.3624946,Exploring the Potential of GPT-4 in Automated Mentoring for Programming Courses,RELEVANT,lower-computing,[Programming Courses]
10.1145/3649217.3653584,CS1-LLM: Integrating LLMs into CS1 Instruction,RELEVANT,lower-computing,[CS1]
10.1145/3626252.3630826,Detecting ChatGPT-Generated Code Submissions in a CS1 Course Using Machine Learning Models,RELEVANT,lower-computing,[CS1 Course]
10.1145/3699538.3699591,Goodbye Hello World - Research Questions for a Future CS1 Curriculum,RELEVANT,lower-computing,[CS1 Course]
10.1145/3626252.3630909,Prompt Problems: A New Programming Exercise for the Generative AI Era,RELEVANT,lower-computing,[CS1 and CS2 Courses]
10.1145/3649217.3653615,"Performance, Workload, Emotion, and Self-Efficacy of Novice Programmers Using AI Code Generation",RELEVANT,lower-computing,[Introductory Programming Course]
10.1145/3649165.3690094,Integrating AI Tutors in a Programming Course,RELEVANT,lower-computing,[Introductory Programming Course]
10.1145/3649217.3653558,ChatGPT and Cheat Detection in CS1 Using a Program Autograding System,RELEVANT,lower-computing,[CS1 Class]
10.1145/3636243.3636249,Patterns of Student Help-Seeking When Using a Large Language Model-Powered Programming Assistant,RELEVANT,lower-computing,[Introductory Computer and Data Science Course]
10.1145/3632620.3671092,Debugging with an AI Tutor: Investigating Novice Help-seeking Behaviors and Perceived Learning,RELEVANT,lower-computing,[Introductory Programming Course]
10.1145/3613905.3637148,Leveraging ChatGPT for Adaptive Learning through Personalized Prompt-based Instruction: A CS1 Education Case Study,RELEVANT,lower-computing,[CS1 Education]
10.1145/3587102.3588785,Comparing Code Explanations Created by Students and Large Language Models,RELEVANT,lower-computing,[Introductory Programming Education]
10.1145/3649217.3653587,Explaining Code with a Purpose: An Integrated Approach for Developing Code Comprehension and Prompting Skills,RELEVANT,lower-computing,[introductory programming]
10.1145/3501385.3543957,Automatic Generation of Programming Exercises and Code Explanations Using Large Language Models,RELEVANT,lower-computing,[introductory programming]
10.1145/3699538.3699567,Student-AI Interaction: A Case Study of CS1 students,RELEVANT,lower-computing,[CS1 introductory programming]
10.1145/3581754.3584111,Scaffolding CS1 Courses with a Large Language Model-Powered Intelligent Tutoring System,RELEVANT,lower-computing,[introductory programming]
10.1145/3649405.3659517,Active Repos: Integrating Generative AI Workflows into GitHub,RELEVANT,lower-computing,[CS1 course]
10.1145/3649217.3653608,Navigating Compiler Errors with AI Assistance - A Study of GPT Hints in an Introductory Programming Course,RELEVANT,lower-computing,[introductory programming]
10.1145/3649217.3653626,Style Anomalies Can Suggest Cheating in CS1 Programs,RELEVANT,lower-computing,[CS1]
10.1145/3626253.3635519,Style Anomalies Can Suggest Cheating in CS1 Programs,RELEVANT,lower-computing,[CS1]
10.1145/3587102.3588794,"ChatGPT, Can You Generate Solutions for my Coding Exercises? An Evaluation on its Effectiveness in an undergraduate Java Programming Course.",RELEVANT,lower-computing,[undergraduate Java programming]
10.1145/3649217.3653574,Desirable Characteristics for AI Teaching Assistants in Programming Education,RELEVANT,lower-computing,[introductory programming]
10.1145/3511861.3511863,The Robots Are Coming: Exploring the Implications of OpenAI Codex on Introductory Programming,RELEVANT,lower-computing,[introductory programming]
10.1145/3636243.3636259,Next-Step Hint Generation for Introductory Programming Using Large Language Models,RELEVANT,lower-computing,[introductory programming]
10.1145/3649409.3691073,AI in and for K-12 Informatics Education. Life after Generative AI.,NOT_RELEVANT,,[N/A]
10.1145/3657604.3664673,Automatic Feedback Generation on K-12 Students' Data Science Education by Prompting Cloud-based Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3626253.3633433,Teaching with AI (GPT),RELEVANT,lower-computing,[introductory programming]
10.1145/3626252.3630773,"AI Teaches the Art of Elegant Coding: Timely, Fair, and Helpful Style Feedback in a Global Course",RELEVANT,lower-computing,[CS1]
10.1145/3631802.3631806,How Novices Use LLM-based Code Generators to Solve CS1 Coding Tasks in a Self-Paced Learning Environment,RELEVANT,lower-computing,[CS1]
10.1145/3626252.3630761,A Global Survey of Introductory Programming Courses,NOT_RELEVANT,,[N/A]
10.1145/3657604.3662039,Prompting for Comprehension: Exploring the Intersection of Explain in Plain English Questions and Prompt Writing,RELEVANT,lower-computing,[introductory computer science]
10.1145/3626252.3630822,dcc --help: Transforming the Role of the Compiler by Generating Context-Aware Error Explanations with Large Language Models,RELEVANT,lower-computing,[CS1 and CS2]
10.1145/3626252.3630764,A Large Scale RCT on Effective Error Messages in CS1,RELEVANT,lower-computing,[introductory computer science course]
10.1145/3613904.3642706,How Beginning Programmers and Code LLMs (Mis)read Each Other,RELEVANT,lower-computing,[beginning programming]
10.1145/3643795.3648380,Investigating the Proficiency of Large Language Models in Formative Feedback Generation for Student Programmers,RELEVANT,lower-computing,[introductory programming courses]
10.1145/3627217.3627235,Evaluating Copilot on CS1 Code Writing Problems with Suppressed Specifications,RELEVANT,lower-computing,[CS1]
10.1145/3631700.3665227,Exploring Student Interactions with AI in Programming Training,RELEVANT,lower-computing,[C programming education]
10.1145/3701268.3701274,Reimagining Student Success Prediction: Applying LLMs in Educational AI with XAI,RELEVANT,lower-computing,[CS1]
10.1145/3626253.3635483,DCC Sidekick: Helping Novices Solve Programming Errors Through a Conversational Explanation Interface,RELEVANT,lower-computing,[introductory computing courses]
10.1145/3649217.3653595,Feedback Literacy: Holistic Analysis of Secondary Educators' Views of LLM Explanations of Program Error Messages,NOT_RELEVANT,,[secondary school level]
10.1145/3636555.3636882,Kattis vs ChatGPT: Assessment and Evaluation of Programming Tasks in the Age of Artificial Intelligence,RELEVANT,lower-computing,[introductory programming courses]
10.1145/3701268.3701273,HCAI Block Model: A competence model for Human Centred Artificial Intelligence at K-12,NOT_RELEVANT,,12]
10.1145/3649850,PyDex: Repairing Bugs in Introductory Python Assignments using LLMs,RELEVANT,lower-computing,[introductory Python programming]
10.1145/3649217.3653621,"Self-Regulation, Self-Efficacy, and Fear of Failure Interactions with How Novices Use LLMs to Solve Programming Problems",RELEVANT,lower-computing,[introductory programming]
10.1145/3699538.3699556,One Step at a Time: Combining LLMs and Static Analysis to Generate Next-Step Hints for Programming Tasks,RELEVANT,lower-computing,[programming tasks]
10.1145/3631802.3631807,What Skills Do You Need When Developing Software Using ChatGPT? (Discussion Paper),NOT_RELEVANT,upper-computing,based tools]
10.1145/3605468.3609775,Impact of Generative AI on K-12 Students’ Perceptions of Computing: A Research Proposal,NOT_RELEVANT,lower-computing,12 computing education]
10.1145/3544548.3580919,Studying the effect of AI Code Generators on Supporting Novice Learners in Introductory Programming,RELEVANT,lower-computing,[introductory programming]
10.1145/3663384.3663393,Non-Expert Programmers in the Generative AI Future,NOT_RELEVANT,lower-computing,[introductory programming]
10.1145/3634814.3634816,Enhancing Programming Learning with LLMs: Prompt Engineering and Flipped Interaction,RELEVANT,lower-computing,[programming learning]
10.1145/3545945.3569823,Conversing with Copilot: Exploring Prompt Engineering for Solving CS1 Problems Using Natural Language,RELEVANT,lower-computing,[CS1 problems]
10.1145/3686852.3687073,Unfolding Programming: How to Use AI Tools in Introductory Computing Courses,RELEVANT,lower-computing,[CS 1]
10.1145/3649165.3690113,"""We have to learn to work with such systems"": Students' Perceptions of ChatGPT After a Short Educational Intervention on NLP",NOT_RELEVANT,upper-computing,CS majors]
10.1145/3545945.3569830,Using GitHub Copilot to Solve Simple Programming Problems,RELEVANT,lower-computing,[introductory programming]
10.1145/3587102.3588792,Can Generative Pre-trained Transformers (GPT) Pass Assessments in Higher Education Programming Courses?,RELEVANT,lower-computing,[introductory and intermediate Python programming courses]
10.1145/3631802.3631848,Enhancing Computer Programming Education using ChatGPT- A Mini Review,RELEVANT,lower-computing,[basic programming education]
10.1145/3649409.3691093,"Code Metrics, Rules of Thumb for Introductory CS",RELEVANT,lower-computing,[introductory Computer Science course]
10.1145/3649165.3690125,Integrating Natural Language Prompting Tasks in Introductory Programming Courses,RELEVANT,lower-computing,[introductory programming courses]
10.1145/3657604.3662032,CodeTailor: LLM-Powered Personalized Parsons Puzzles for Engaging Support While Learning Programming,RELEVANT,lower-computing,level programming]
10.1145/3626253.3635600,Pair Programming with ChatGPT,RELEVANT,lower-computing,[introductory computer science courses]
10.1145/3632620.3671116,The Widening Gap: The Benefits and Harms of Generative AI for Novice Programmers,RELEVANT,lower-computing,[introductory programming]
10.1145/3624032.3624035,An initial investigation of ChatGPT unit test generation capability,NOT_RELEVANT,upper-computing,[software testing]
10.1145/3699538.3699580,Novice Learners of Programming and Generative AI - Prior Knowledge Matters,RELEVANT,lower-computing,[Procedural Programming]
10.1145/3613904.3642773,CodeAid: Evaluating a Classroom Deployment of an LLM-based Programming Assistant that Balances Student and Educator Needs,RELEVANT,lower-computing,[programming class]
10.1145/3576882.3617916,A Bug's New Life: Creating Refute Questions from Filtered CS1 Student Code Snapshots,RELEVANT,lower-computing,[introductory programming (CS1)]
10.1145/3490100.3516473,Leveraging Generative Conversational AI to Develop a Creative Learning Environment for Computational Thinking,RELEVANT,lower-computing,[computer programming]
10.1145/3617367,“It’s Weird That it Knows What I Want”: Usability and Interactions with Copilot for Novice Programmers,RELEVANT,lower-computing,[introductory programming (CS1)]
10.1145/3613904.3642229,ChatScratch: An AI-Augmented System Toward Autonomous Visual Programming Learning for Children Aged 6-12,RELEVANT,lower-computing,[autonomous programming learning for children]
10.1145/3613905.3650937,Exploring How Multiple Levels of GPT-Generated Programming Hints Support or Disappoint Novices,RELEVANT,lower-computing,[novice programming]
10.1145/3622780.3623648,KOGI: A Seamless Integration of ChatGPT into Jupyter Environments for Programming Education,RELEVANT,lower-computing,[Algorithms and Data Science]
10.1145/3593663.3593692,Towards Automated Interactive Tutoring - Focussing on Misconceptions and Adaptive Level-Specific Feedback,RELEVANT,lower-computing,[introductory programming courses]
10.1145/3640544.3645234,NotebookGPT – Facilitating and Monitoring Explicit Lightweight Student GPT Help Requests During Programming Exercises,RELEVANT,lower-computing,[programming exercises]
10.1145/3640794.3665542,Generative AI-Enabled Conversational Interaction to Support Self-Directed Learning Experiences in Transversal Computational Thinking,RELEVANT,lower-computing,[introductory programming]
10.1145/3558489.3559072,Assessing the quality of GitHub copilot’s code generation,NOT_RELEVANT,,[N/A]
10.1145/3716640.3716647,LLM-itation is the Sincerest Form of Data: Generating Synthetic Buggy Code Submissions for Computing Education,RELEVANT,lower-computing,[introductory programming]
10.1145/3706598.3713644,Playing Dumb to Get Smart: Creating and Evaluating an LLM-based Teachable Agent within University Computer Science Classes,RELEVANT,upper-computing,[university computer science courses]
10.1145/3641555.3705282,Finding Misleading Identifiers in Novice Code Using LLMs,RELEVANT,lower-computing,[CS1]
10.1145/3706468.3706529,Generating Effective Distractors for Introductory Programming Challenges: LLMs vs Humans,RELEVANT,lower-computing,[introductory programming]
10.1145/3716640.3716651,Oversight in Action: Experiences with Instructor-Moderated LLM Responses in an Online Discussion Forum,RELEVANT,upper-computing,year software engineering course]
10.1145/3716640.3716652,On the Opportunities of Large Language Models for Programming Process Data,RELEVANT,lower-computing,[introductory programming]
10.1145/3641554.3701913,Design and Evaluation of an AI-Assisted Grading Tool for Introductory Programming Assignments: An Experience Report,RELEVANT,lower-computing,[introductory programming]
10.1145/3641554.3701864,61A Bot Report: AI Assistants in CS1 Save Students Homework Time and Reduce Demands on Staff. (Now What?),RELEVANT,lower-computing,[CS1]
10.1145/3737885,Howzat? Appealing to Expert Judgement for Evaluating Human and AI Next-Step Hints for Novice Programmers,RELEVANT,lower-computing,[introductory programming]
10.1145/3641554.3701883,Midterm Exam Outliers Efficiently Highlight Potential Cheaters on Programming Assignments,NOT_RELEVANT,lower-computing,[CS1]
10.1145/3641555.3705195,How Good are Large Language Models at Generating Subgoal Labels?,RELEVANT,lower-computing,[introduction to programming]
10.1145/3641555.3705061,Assessment in CS50 with AI: Leveraging Generative Artificial Intelligence for Personalized Student Evaluation,RELEVANT,upper-computing,[CS50]
10.1145/3641554.3701791,Evaluating Language Models for Generating and Judging Programming Feedback,RELEVANT,lower-computing,[introductory Python programming]
10.1145/3641554.3701853,Fostering Creativity: Student-Generative AI Teaming in an Open-Ended CS0 Assignment,RELEVANT,lower-computing,[introduction to computing]
10.1145/3641554.3701827,"Compiler-Integrated, Conversational AI for Debugging CS1 Programs",RELEVANT,lower-computing,[CS1]
10.1145/3641555.3705051,TA Buddy: AI-Assisted Grading Tool for Introductory Programming Assignments,RELEVANT,lower-computing,[introductory programming]
10.1145/3641554.3701906,On Teaching Novices Computational Thinking by Utilizing Large Language Models Within Assessments,RELEVANT,lower-computing,[introductory programming]
10.1145/3641555.3705066,Leveraging or Limiting: Strategies and Implications of ChatGPT Use by Undergraduate TAs in Large CS2 Courses,RELEVANT,upper-computing,[CS2]
10.1145/3641554.3701972,Feasibility Study of Augmenting Teaching Assistants with AI for CS1 Programming Feedback,RELEVANT,lower-computing,[CS1]
10.1145/3641554.3701945,Improving AI in CS50: Leveraging Human Feedback for Better Learning,RELEVANT,lower-computing,[CS50]
10.1145/3706599.3720203,SPHERE: Supporting Personalized Feedback at Scale in Programming Classrooms with Structured Review of Generative AI Outputs,RELEVANT,lower-computing,[programming classrooms]
10.1145/3641555.3704765,Teaching with AI (GPT),RELEVANT,lower-computing,[CS50]
10.1145/3706468.3706500,Test Case-Informed Knowledge Tracing for Open-ended Coding Tasks,RELEVANT,upper-computing,ended coding tasks]
10.1145/3641554.3701810,Enhancing CS1 Education through Experiential Learning with Robotics Projects,RELEVANT,lower-computing,[CS1]
10.1145/3641554.3701974,BugSpotter: Automated Generation of Code Debugging Exercises,RELEVANT,lower-computing,[introductory programming]
10.1145/3641555.3705201,Implementing the AI-Lab Framework: Enhancing Introductory Programming Education for CS Majors,RELEVANT,upper-computing,[Data Structures and Algorithms]
10.1145/3641554.3701934,Exploring Student Reactions to LLM-Generated Feedback on Explain in Plain English Problems,RELEVANT,lower-computing,[introductory programming]
10.1145/3641555.3705253,Spotting AI Missteps: Students Take on LLM Errors in CS1,RELEVANT,lower-computing,[CS1]
10.1145/3641554.3701910,Evaluating GPT for use in K-12 Block Based CS Instruction Using a Transpiler and Prompt Engineering,RELEVANT,lower-computing,[Scratch curriculum]
10.1145/3716640.3716656,Achievement Goals in CS1-LLM,RELEVANT,lower-computing,[CS1]
10.1145/3641554.3701806,Code Interviews: Design and Evaluation of a More Authentic Assessment for Introductory Programming Assignments,NOT_RELEVANT,lower-computing,[introductory programming]
10.1145/3716640.3716649,Breaking the Programming Language Barrier: Multilingual Prompting to Empower Non-Native English Learners,RELEVANT,lower-computing,[introductory programming]
10.1145/3641555.3705227,Personalized Parsons Puzzles as Scaffolding Enhance Practice Engagement Over Just Showing LLM-Powered Solutions,RELEVANT,lower-computing,[Python learning classroom]
10.1145/3641555.3705166,Detecting Programming Plans in Open-ended Code Submissions,RELEVANT,lower-computing,[introductory programming]
10.1145/3723010.3723034,The Power of Context: An LLM-based Programming Tutor with Focused and Proactive Feedback,RELEVANT,lower-computing,[beginning programming]
10.1145/3641554.3701959,How Novices Use Program Visualizations to Understand Code that Manipulates Data Tables,NOT_RELEVANT,lower-computing,[data science programs]
10.1145/3723178.3723268,Generative AI for Programming Education: Can ChatGPT Facilitate the Acquisition of Fundamental Programming Skills for Novices?,RELEVANT,lower-computing,[novice programming]
10.1145/3706598.3713832,PLAID: Supporting Computing Instructors to Identify Domain-Specific Programming Plans at Scale,RELEVANT,upper-computing,focused domains]
10.1145/3701716.3717810,EdgePrompt: Engineering Guardrail Techniques for Offline LLMs in K-12 Educational Settings,NOT_RELEVANT,,[N/A]
10.1145/3704289.3704301,"A Systematic Literature Review of the Opportunities and Advantages for AIGC (OpenAI ChatGPT, Copilot, Codex) in Programming Course",RELEVANT,lower-computing,programming course
10.1109/TALE62452.2024.10834365,Tailoring Your Code Companion: Leveraging LLMs and RAG to Develop a Chatbot to Support Students in a Programming Course,RELEVANT,lower-computing,Java programming course
10.1109/REEPE60449.2024.10479881,ChatGPT and Unified State Exam in Computer Science,NOT_RELEVANT,,[N/A]
10.1109/FIE61694.2024.10892934,Using ChatGPT in Undergraduate Computer Science and Software Engineering Courses: A Students' Perspective,RELEVANT,lower-computing,Oriented Programming and Data Structures using Java
10.1109/UEMCON62879.2024.10754661,Development and Evaluation of an AI-Enhanced Python Programming Education System,RELEVANT,lower-computing,Python programming education system
10.1109/FIE61694.2024.10892956,Work in Progress: Integration of AI Tools on an Open-Ended Computer Programming Project,RELEVANT,lower-computing,introduction to programming course
10.1109/DEMOcon63027.2024.10748200,"Novelty, Rigidity, and Complexity: Toward Developing AI-Resistant Assessments in an Introductory Computer Science Class",RELEVANT,lower-computing,introductory computer science class
10.1109/FIE61694.2024.10892816,Exploring the Potential of Locally Run Large Language (AI) Models for Automated Grading in Introductory Computer Science Courses,RELEVANT,lower-computing,introductory computer science course
10.1109/ITHET61869.2024.10837624,Case Study: Using Artificial Intelligence as a Tutor for a Programming Course,RELEVANT,lower-computing,programming course
10.1109/DSAA61799.2024.10722841,Human Evaluation of GPT for Scalable Python Programming Exercise Generation,RELEVANT,lower-computing,[CS1]
10.1109/FIE58773.2023.10343037,An Exploratory Study on the Impact of AI tools on the Student Experience in Programming Courses: an Intersectional Analysis Approach,RELEVANT,lower-computing,[introductory Java programming]
10.1109/FIE58773.2023.10343457,Exploring the Potential of Large Language Models to Generate Formative Programming Feedback,RELEVANT,lower-computing,[CS1]
10.1109/ISAS60782.2023.10391549,Assessing the Impact of ChatGPT in a PHP Programming Course,RELEVANT,,[PHP programming course]
10.1109/ACCESS.2024.3443621,Navigating the Pitfalls: Analyzing the Behavior of LLMs as a Coding Assistant for Computer Science Students—A Systematic Review of the Literature,NOT_RELEVANT,,[not specified]
10.1145/3639474.3640076,Does ChatGPT Help With Introductory Programming? An Experiment of Students Using ChatGPT in CS1,RELEVANT,lower-computing,[CS1]
10.1109/ISEC61299.2024.10665141,Optimizing Large Language Models for Auto-Generation of Programming Quizzes,RELEVANT,lower-computing,[CS1 and CS2]
10.1109/TALE56641.2023.10398297,Explicitly Introducing ChatGPT into First-year Programming Practice: Challenges and Impact,RELEVANT,lower-computing,year programming]
10.1109/TLT.2024.3499751,A High-Quality Generation Approach for Educational Programming Projects Using LLM,RELEVANT,,[programming course]
10.1109/FIE61694.2024.10893442,How Novice Programmers Use and Experience ChatGPT when Solving Programming Exercises in an Introductory Course,RELEVANT,lower-computing,[introductory programming]
10.1109/TE.2024.3394060,Developing Future Computational Thinking in Foundational CS Education: A Case Study From a Liberal Education University in India,NOT_RELEVANT,lower-computing,year undergraduate programming course]
10.1109/ICEED62316.2024.10923833,Code Debugging with LLM-Generated Explanations of Programming Error Messages,RELEVANT,lower-computing,[introductory course on Natural Language Processing]
10.1109/EDUCON62633.2025.11016417,The Impact of Chatbots on Students' Reflective Thinking in Introductory Programming Course,RELEVANT,lower-computing,[introductory computer programming course (COMP102)]
10.1109/EDUCON62633.2025.11016298,Stimulating Critical Thinking in a Web Programming Module with Generative AI Tools,RELEVANT,lower-computing,year web programming module]
10.1109/FLLM63129.2024.10852455,A Systematic Study on the Potentials and Limitations of LLM-assisted Software Development,RELEVANT,lower-computing,level programming class]
10.1109/LA-CCI62337.2024.10814750,Twisted Games: A First Experience of Inclusion of AI tools in First Year Programming Classes,RELEVANT,lower-computing,year programming course]
10.1109/CSCE60160.2023.00172,Analyzing ChatGPT's Aptitude in an Introductory Computer Engineering Course,RELEVANT,lower-computing,[introductory computer engineering course]
10.1109/ACCESS.2024.3380909,Students’ Experiences of Using ChatGPT in an Undergraduate Programming Course,RELEVANT,lower-computing,[undergraduate programming course]
10.1109/ACCESS.2024.3445432,Does ChatGPT Help Novice Programmers Write Better Code? Results From Static Code Analysis,RELEVANT,lower-computing,[introductory Java programming courses]
10.1109/SEEDA-CECNSM63478.2024.00031,Assessing the Impact of Integrating ChatGPT as an Advice Generator in Educational Software,RELEVANT,lower-computing,[Java programming]
10.1109/QRS62785.2024.00027,Empirical Evaluation of Large Language Models for Novice Program Fault Localization,RELEVANT,lower-computing,[novice programming]
10.1109/FIE61694.2024.10893137,BoilerTAI: A Platform for Enhancing Instruction Using Generative AI in Educational Forums,RELEVANT,lower-computing,year computer programming courses]
10.1109/URTC65039.2024.10937513,Assessing the Consistency of Open-Source Large Language Models for Algorithm Evaluation,NOT_RELEVANT,upper-computing,[algorithm evaluation]
10.1109/FIE61694.2024.10893099,Work-in-Progress: Students' Prompting Strategies When Solving an Engineering Design Task,RELEVANT,lower-computing,year engineering course]
10.1109/EDUCON62633.2025.11016505,Concepts for Teaching Software Development in the Age of AI-Tools,RELEVANT,lower-computing,[basic software development]
10.1109/FIE58773.2023.10343247,Challenging the Confirmation Bias: Using ChatGPT as a Virtual Peer for Peer Instruction in Computer Programming Education,RELEVANT,lower-computing,[computer programming courses]
10.1109/WSC63780.2024.10838799,Understanding Optimal Interactions Between Students and A Chatbot During A Programming Task,RELEVANT,lower-computing,[introductory programming course]
10.1145/3639474.3640061,AI-Tutoring in Software Engineering Education: Experiences with Large Language Models in Programming Assessments,RELEVANT,upper-computing,[software engineering]
