doi,title,relevance,category,explanation
10.1145/3636243.3636248,The Effects of Generative AI on Computing Students’ Help-Seeking Preferences,RELEVANT,,[not specified]
10.1145/3545945.3569770,Using Large Language Models to Enhance Programming Error Messages,RELEVANT,lower-computing,[introductory programming]
10.1145/3664646.3664758,Unveiling the Potential of a Conversational Agent in Developer Support: Insights from Mozilla’s PDF.js Project,NOT_RELEVANT,upper-computing,[Open Source Software Development]
10.1145/3674399.3674423,Data-driven Contribution-based Disciplinary Assessment System,NOT_RELEVANT,upper-computing,[Computer Science Education]
10.1145/3631991.3632024,Roles of ChatGPT in virtual teaching assistant and intelligent tutoring system: opportunities and challenges,RELEVANT,,[General Education]
10.1145/3657604.3662031,Generative Students: Using LLM-Simulated Student Profiles to Support Question Item Evaluation,RELEVANT,,[Heuristic Evaluation]
10.1145/3657604.3662030,Automated Generation and Tagging of Knowledge Components from Multiple-Choice Questions,NOT_RELEVANT,,Learning]
10.1145/3632620.3671108,Probeable Problems for Beginner-level Programming-with-AI Contests,RELEVANT,lower-computing,level Programming]
10.1145/3626252.3630958,Use of AI-driven Code Generation Models in Teaching and Learning Programming: a Systematic Literature Review,RELEVANT,lower-computing,[Programming Education]
10.1145/3585059.3611447,"ChatGPT in IT Education Ecosystem: Unraveling Long-Term Impacts on Job Market, Student Learning, and Ethical Practices",RELEVANT,,[Information Technology and Computer Science Education]
10.1145/3689535.3689538,Developing Computing Teacher Guidance on GenAI,RELEVANT,,[Computing Education]
10.1145/3585059.3611445,Exploring the Role of ChatGPT in Education: Applications and Challenges,RELEVANT,,[General Education]
10.1145/3676281,ChatGPT on ChatGPT: An Exploratory Analysis of its Performance in the Public Sector Workplace,NOT_RELEVANT,,[N/A]
10.1145/3613904.3642377,Learning Agent-based Modeling with LLM Companions: Experiences of Novices and Experts Using ChatGPT &amp; NetLogo Chat,RELEVANT,upper-computing,based Modeling]
10.1145/3652620.3687773,Designing and Generating Lesson Plans combining Open Educational Content and Generative AI,RELEVANT,upper-computing,Driven Engineering]
10.1145/3613904.3642081,Understanding the Role of Large Language Models in Personalizing and Scaffolding Strategies to Combat Academic Procrastination,NOT_RELEVANT,,[N/A]
10.1145/3689535.3689553,Exploring Human-Centered Approaches in Generative AI and Introductory Programming Research: A Scoping Review,RELEVANT,lower-computing,[Introductory Programming]
10.1145/3652620.3687782,DSL-Xpert: LLM-driven Generic DSL Code Generation,NOT_RELEVANT,,[N/A]
10.1145/3593342.3593360,Exploring ChatGPT’s impact on post-secondary education: A qualitative study,NOT_RELEVANT,,[N/A]
10.1145/3626253.3635432,Google Colab for Teaching CS and ML,RELEVANT,upper-computing,[Machine Learning]
10.1145/3638067.3638100,May We Consult ChatGPT in Our Human-Computer Interaction Written Exam? An Experience Report After a Professor Answered Yes,RELEVANT,upper-computing,Computer Interaction]
10.1145/3657604.3664699,Scaling Up Mastery Learning with Generative AI: Exploring How Generative AI Can Assist in the Generation and Evaluation of Mastery Quiz Questions,NOT_RELEVANT,,[N/A]
10.1145/3568813.3600138,"From ""Ban It Till We Understand It"" to ""Resistance is Futile"": How University Programming Instructors Plan to Adapt as More Students Use AI Code Generation and Explanation Tools such as ChatGPT and GitHub Copilot",RELEVANT,lower-computing,[introductory programming]
10.1145/3643991.3645072,Analyzing Developer Use of ChatGPT Generated Code in Open Source GitHub Projects,NOT_RELEVANT,upper-computing,[N/A]
10.1145/3649165.3699863,Artificial Intelligence Policy: What Computing Educators and Students Should Know,NOT_RELEVANT,,[N/A]
10.1145/3643991.3645083,Investigating the Utility of ChatGPT in the Issue Tracking System: An Exploratory Study,NOT_RELEVANT,upper-computing,[N/A]
10.1145/3649217.3653607,Iterative Student Program Planning using Transformer-Driven Feedback,RELEVANT,lower-computing,[CS1]
10.1145/3589335.3641257,"Curriculum Learning: Theories, Approaches, Applications, Tools, and Future Directions in the Era of Large Language Models",NOT_RELEVANT,,[N/A]
10.1145/3675812.3675874,Generative AI-Powered Educational Alignment: A Framework for Matching Syllabus Course Topics with Web Description,NOT_RELEVANT,,[N/A]
10.1145/3627217.3627238,Creating Thorough Tests for AI-Generated Code is Hard,RELEVANT,lower-computing,[N/A]
10.1145/3661167.3661226,Leveraging Large Language Models for Preliminary Security Risk Analysis: A Mission-Critical Case Study,NOT_RELEVANT,upper-computing,[N/A]
10.1145/3649165.3699862,The Innovative Development of Artificial Intelligence and STEM Education-Cognition and Practice,NOT_RELEVANT,,[N/A]
10.1145/3654777.3676390,LessonPlanner: Assisting Novice Teachers to Prepare Pedagogy-Driven Lesson Plans with Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3687311.3687404,Fairness of Large Language Models in Education,NOT_RELEVANT,,[N/A]
10.1145/3637528.3671498,AI for Education (AI4EDU): Advancing Personalized Education with LLM and Adaptive Learning,NOT_RELEVANT,,[N/A]
10.1145/3664476.3670446,Assessing the Impact of Large Language Models on Cybersecurity Education: A Study of ChatGPT's Influence on Student Performance,RELEVANT,upper-computing,cybersecurity
10.1145/3657604.3664677,Scaling Generated Feedback for Novice Teachers by Sustaining Teacher Educators' Expertise: A Design to Train LLMs with Teacher Educator Endorsement of Generated Feedback,NOT_RELEVANT,,[N/A]
10.1145/3626203.3670577,Enabling access to large-language models (LLMs) at scale for higher education,RELEVANT,upper-computing,advanced data science
10.1145/3677045.3685461,Sustainability analysis of AI-based tools in higher education,NOT_RELEVANT,,[N/A]
10.1145/3637989.3637998,Development of chatbots connected to Learning Management Systems for the support and formative assessment of students,RELEVANT,upper-computing,[N/A]
10.1145/3613904.3642379,A Piece of Theatre: Investigating How Teachers Design LLM Chatbots to Assist Adolescent Cyberbullying Education,NOT_RELEVANT,,[N/A]
10.1145/3641032.3641055,Advancements and Challenges of Generative AI in Higher Educational Content Creation A Technical Perspective,RELEVANT,upper-computing,advanced technical subjects
10.1145/3700297.3700342,Opportunities and Challenges in the Cultivation of Software Development Professionals in the Context of Large Language Models,RELEVANT,upper-computing,[software development]
10.1145/3686852.3687083,Enhancing classroom teaching with LLMs and RAG,NOT_RELEVANT,lower-computing,[K–12 education]
10.1145/3605098.3636108,Equity and Fairness Challenges in Online Learning in the Age of ChatGPT,RELEVANT,,[online learning]
10.1145/3626253.3635398,Is ChatGPT the Academic Catalyst We've all been Waiting For?,RELEVANT,upper-computing,[mathematics and CS]
10.1145/3641235.3664430,Emerging Approaches in CG Education Aimed at Enhancing Visual Communication Skills through Reverse Engineering,RELEVANT,upper-computing,[computer graphics]
10.1145/3691620.3695470,JavaBench: A Benchmark of Object-Oriented Code Generation for Evaluating Large Language Models,RELEVANT,upper-computing,oriented programming]
10.1145/3689370,Exploring the Role of ChatGPT in Higher Education Institutions: Where does Latin America Stand?,RELEVANT,,[higher education]
10.1145/3678610.3678625,Students' Perceptions and Intentions Regarding ChatGPT Usage in Higher Education,RELEVANT,,[higher education]
10.1145/3670653.3677507,Understanding the Adoption of ChatGPT in Higher Education: A Comparative Study with Insights from STEM and Business Students,RELEVANT,,[higher education]
10.1145/3613904.3642438,"Teachers, Parents, and Students' perspectives on Integrating Generative AI into Elementary Literacy Education",NOT_RELEVANT,lower-computing,[elementary literacy education]
10.1145/3672539.3686338,SelfGauge: An Intelligent Tool to Support Student Self-assessment in GenAI-enhanced Project-based Learning,RELEVANT,,based Learning]
10.1145/3573051.3593393,GPTeach: Interactive TA Training with GPT-based Students,NOT_RELEVANT,,[teacher training]
10.1145/3610978.3638160,3rd Workshop on Human-Interactive Robot Learning (HIRL),NOT_RELEVANT,,Interactive Robot Learning]
10.1145/3698322.3698346,Phrasebooks Can Teach Us ChatGPT: Decoding Prompt Crafting as Function Allocation,NOT_RELEVANT,,[Prompt Engineering]
10.1145/3689484.3690738,Automated Generation of Code Contracts: Generative AI to the Rescue?,RELEVANT,upper-computing,[software development]
10.1145/3644815.3644987,Custom Developer GPT for Ethical AI Solutions,NOT_RELEVANT,,[ethical AI solutions]
10.1145/3695080.3695150,ChatGPT intervenes in the application analysis of higher education classrooms,NOT_RELEVANT,,[higher education classrooms]
10.1145/3689215,GenAI in the Context of African Universities: A Crisis of Tertiary Education or Its New Dawn?,NOT_RELEVANT,,[African universities]
10.1145/3636555.3636912,Analyzing Students Collaborative Problem-Solving Behaviors in Synergistic STEM+C Learning,RELEVANT,lower-computing,[computational modeling in STEM+C]
10.1145/3510454.3522684,Is GitHub copilot a substitute for human pair-programming? an empirical study,RELEVANT,upper-computing,programming]
10.1145/3628516.3659392,App Planner: Utilizing Generative AI in K-12 Mobile App Development Education,RELEVANT,lower-computing,12 Mobile App Development Education]
10.1145/3686852.3687069,The Future of Learning: Large Language Models through the Lens of Students,NOT_RELEVANT,,[N/A]
10.1145/3686852.3687075,Instructional Approaches Complementing the Use of Generative Artificial Intelligence in Higher Education,NOT_RELEVANT,,[N/A]
10.1145/3613904.3642785,"The Promise and Peril of ChatGPT in Higher Education: Opportunities, Challenges, and Design Implications",NOT_RELEVANT,,[N/A]
10.1145/3691720.3691809,Exploration and research of generative artificial intelligence on higher vocational education,NOT_RELEVANT,,[N/A]
10.1145/3632634.3655852,IT Higher Education Teachers and Trust in AI-Enabled Ed-Tech: Implications for Adoption of AI in Higher Education,NOT_RELEVANT,,[N/A]
10.1145/3686038.3686063,Investigating the Impact of Generative AI on Students and Educators: Evidence and Insights from the Literature,NOT_RELEVANT,,[N/A]
10.1145/3660043.3660178,Opportunities and Challenges of Generative Artificial Intelligence in Facilitating Learning for Chinese University Students,NOT_RELEVANT,,[N/A]
10.1145/3658619.3658627,The Potential and Implications of Generative AI on HCI Education,RELEVANT,upper-computing,[HCI Education]
10.1145/3573051.3596191,Educator and Student Perspectives on the Impact of Generative AI on Assessments in Higher Education,NOT_RELEVANT,,[N/A]
10.1145/3669754.3669806,Do Human Beliefs and Traits Influence the Adoption of ChatGPT among Programming Students?,RELEVANT,lower-computing,[programming]
10.1145/3663649.3664375,What Teaching Databases Taught Us about Researching Databases: Extended Talk Abstract,RELEVANT,upper-computing,[databases]
10.1145/3675416,Toward Effective AI Support for Developers: A survey of desires and concerns,NOT_RELEVANT,,[N/A]
10.1145/3641554.3701863,Large Language Models in Computer Science Education: A Systematic Literature Review,RELEVANT,,[computer science and computer engineering education]
10.1145/3641555.3705121,A Systematic Literature Mapping of Early Generative AI Research is CS Education,RELEVANT,,[CS education]
10.1145/3641554.3701873,What Can Computer Science Educators Learn From the Failures of Top-Down Pedagogy?,RELEVANT,,[computer science education]
10.1145/3641555.3705080,Prompt-Engineering Strategies for Minimizing Bias in Large Language Model Outputs: Applications in Computing Education,RELEVANT,,[computing education]
10.1145/3641555.3704749,Building AI-Powered Responsible Workforce by Integrating Large Language Models into Computer Science Curriculum,RELEVANT,upper-computing,[software engineering]
10.1145/3702163.3702188,Exploring the Adoption of Generative AI Tools in Computer Science Education: A Student Survey,RELEVANT,,[computer science education]
10.1145/3716640.3716658,From Automation to Cognition: Redefining the Roles of Educators and Generative AI in Computing Education,RELEVANT,,[computing education]
10.1145/3641554.3701872,Designing LLM-Resistant Programming Assignments: Insights and Strategies for CS Educators,RELEVANT,upper-computing,[CS homework assignments]
10.1145/3709026.3709030,On Automated Essay Grading using Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3706468.3706530,Does Multiple Choice Have a Future in the Age of Generative AI? A Posttest-only RCT,NOT_RELEVANT,,[N/A]
10.1145/3689187.3709614,"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools",RELEVANT,lower-computing,[introductory programming tasks]
10.1145/3689187.3709607,AI Integration in the IT Professional Workplace: A Scoping Review and Interview Study with Implications for Education and Professional Competencies,NOT_RELEVANT,,[N/A]
10.1145/3641555.3705252,Sociotechnical AI Education Course Design for CS Majors and Non-Majors,RELEVANT,lower-computing,[introductory AI course]
10.1145/3706598.3713728,Artificial Intimacy: Exploring Normativity and Personalization Through Fine-tuning LLM Chatbots,NOT_RELEVANT,,[N/A]
10.1145/3706468.3706481,Automatic Short Answer Grading in the LLM Era: Does GPT-4 with Prompt Engineering beat Traditional Models?,NOT_RELEVANT,,[N/A]
10.1145/3722229,Nurturing Code Quality: Leveraging Static Analysis and Large Language Models for Software Quality in Education,RELEVANT,upper-computing,[software engineering]
10.1145/3715112,With Great Power Comes Great Responsibility: The Role of Software Engineers,NOT_RELEVANT,,[N/A]
10.1145/3706598.3713731,TutorCraftEase: Enhancing Pedagogical Question Creation with Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3706598.3713513,From Passive Watching to Active Learning: Empowering Proactive Participation in Digital Classrooms with AI Video Assistant,NOT_RELEVANT,,[N/A]
10.1145/3641555.3705187,From Code to Concepts: Textbook-Driven Knowledge Tracing with LLMs in CS1,RELEVANT,lower-computing,CS1
10.1145/3706468.3706479,Feedback on Feedback: Student’s Perceptions for Feedback from Teachers and Few-Shot LLMs,NOT_RELEVANT,,[N/A]
10.1145/3706598.3713447,How Do Hackathons Foster Creativity? Towards Automated Evaluation of Creativity at Scale,NOT_RELEVANT,,[N/A]
10.1145/3706598.3713773,Classroom Simulacra: Building Contextual Student Generative Agents in Online Education for Learning Behavioral Simulation,NOT_RELEVANT,,[N/A]
10.1145/3706598.3714261,AutoPBL: An LLM-powered Platform to Guide and Support Individual Learners Through Self Project-based Learning,RELEVANT,upper-computing,machine learning
10.1145/3722237.3722354,Generative AI in Education: Developing Personalized Learning Experiences with Hyperspherical Variational Self-Attention Autoencoder,NOT_RELEVANT,,[N/A]
10.1145/3708359.3712104,Exploring the Design Space of Cognitive Engagement Techniques with AI-Generated Code for Enhanced Learning,RELEVANT,lower-computing,introductory programming
10.1145/3641555.3705272,Traversing New Horizons: An Exploration of Educational Policies on Generative AI,NOT_RELEVANT,,[N/A]
10.1145/3708036.3708178,The Role of Generative AI in Higher Education: A Decade of Current Status and Future Prospects,NOT_RELEVANT,,[N/A]
10.1145/3722237.3722310,Research on Steganography Course with Large Language Model ChatGPT Assisted Learning,RELEVANT,upper-computing,[Steganography course]
10.1145/3706468.3706533,Configuring and Monitoring Students' Interactions with Generative AI Tools: Supporting Teacher Autonomy,NOT_RELEVANT,,[N/A]
10.1145/3706598.3713460,PAIGE: Examining Learning Outcomes and Experiences with Personalized AI-Generated Educational Podcasts,NOT_RELEVANT,,[N/A]
10.1145/3706598.3713971,Co-designing Large Language Model Tools for Project-Based Learning with K12 Educators,NOT_RELEVANT,,[N/A]
10.1145/3701716.3717527,One Size doesn't Fit All: A Personalized Conversational Tutoring Agent for Mathematics Instruction,NOT_RELEVANT,,[N/A]
10.1145/3706598.3713714,"""Here the GPT made a choice, and every choice can be biased"": How Students Critically Engage with LLMs through End-User Auditing Activity",NOT_RELEVANT,,[N/A]
10.1145/3708036.3708256,Visual analytics of the current status and trends in artificial intelligence education based on big data,NOT_RELEVANT,,[N/A]
10.1145/3722237.3722268,Agent4EDU: Advancing AI for Education with Agentic Workflows,NOT_RELEVANT,,[N/A]
10.1145/3722237.3722245,ChatGPT Empowers Higher Education: —Research Topics Hotspots and Quantitative Visual Analysis,NOT_RELEVANT,,[N/A]
10.1145/3706468.3706487,A Novel Approach to Scalable and Automatic Topic-Controlled Question Generation in Education,NOT_RELEVANT,,[N/A]
10.1145/3704289.3704302,Exploration of Engineering and Design Fusion in 3E of Digital Media Technology Major Empowered by AIGC,RELEVANT,upper-computing,[digital media technology]
10.1145/3704289.3704293,Interdisciplinary Perspectives on Generative Artificial Intelligence Adoption in Higher Education: A Theoretical Framework Review,NOT_RELEVANT,,[N/A]
10.1145/3702212.3702217,Themes in the Declared Use of Generative Artificial Intelligence in Assessment,NOT_RELEVANT,,[N/A]
10.1145/3685680,Generative AI Literacy: Twelve Defining Competencies,NOT_RELEVANT,,[N/A]
10.1145/3735548.3729174,"Beyond Detection: Why faculty should focus on AI literacy, not AI policing",NOT_RELEVANT,,[N/A]
10.1145/3706598.3714233,DreamGarden: A Designer Assistant for Growing Games from a Single Prompt,NOT_RELEVANT,,[N/A]
10.1145/3672608.3707909,AI-Enhanced Learning: Comparing Outcomes in Introductory and Advanced Programming Courses,RELEVANT,lower-computing,[introductory and advanced programming courses]
10.1145/3711403.3711438,Artificial Intelligence Helps Teachers Personalise Their Teaching--Take ChatGPT as an Example,NOT_RELEVANT,,[N/A]
10.1145/3702386.3702392,A Comparative Study of Gender Differences in the Utilization and Effectiveness of AI-Assisted Learning Tools in Programming Among University Students,RELEVANT,lower-computing,[programming fundamentals]
10.1145/3708359.3712134,Can an AI Partner Empower Learners to Ask Critical Questions?,NOT_RELEVANT,,[N/A]
10.1145/3711403.3711445,An Exploration of the Impact of Generalized Big Model Programming Educational Applications of Artificial Intelligence,NOT_RELEVANT,,[N/A]
10.1109/FIE61694.2024.10893106,"Empowering Secondary School Teachers: Creating, Executing, and Evaluating a Transformative Professional Development Course on ChatGPT",NOT_RELEVANT,,[N/A]
10.1109/CSEET62301.2024.10662984,Automated Programming Exercise Generation in the Era of Large Language Models,RELEVANT,upper-computing,[software engineering]
10.1109/EDUCON60312.2024.10578839,Automatic Grading of Short Answers Using Large Language Models in Software Engineering Courses,RELEVANT,upper-computing,[software engineering]
10.1109/ACCESS.2025.3545882,Exploring the Integration of Generative AI Tools in Software Testing Education: A Case Study on ChatGPT and Copilot for Preparatory Testing Artifacts in Postgraduate Learning,RELEVANT,upper-computing,[Capstone Project course in software testing]
10.1109/CSEET58097.2023.00031,Recommendations to Create Programming Exercises to Overcome ChatGPT,RELEVANT,lower-computing,[programming]
10.1109/SEENG59157.2023.00010,“We Need To Talk About ChatGPT”: The Future of AI and Higher Education,RELEVANT,upper-computing,[software engineering]
10.1109/FIE58773.2023.10343171,An Ontology and Management System for Learning Outcomes and Student Mastery,RELEVANT,upper-computing,[software engineering]
10.1109/CSEET62301.2024.10663001,Leveraging Lecture Content for Improved Feedback: Explorations with GPT-4 and Retrieval Augmented Generation,RELEVANT,lower-computing,[introductory programming]
10.1109/ISEC61299.2024.10664825,The Penetration of Generative AI in Higher Education: A Survey,NOT_RELEVANT,,[N/A]
10.1109/ITHET61869.2024.10837650,Exploring Students' Perception and Experience with ChatGPT and Critical Thinking in a Higher Education Context,NOT_RELEVANT,,[N/A]
10.1109/ITHET61869.2024.10837649,The Impact of ChatGPT on Student Learning Experience in Higher STEM Education: A Systematic Literature Review,NOT_RELEVANT,,[N/A]
10.1109/ITCEM65710.2024.00050,Research on the Effectiveness of Human-Machine Collaborative Teaching Based on Data Analysis in the Era of Digital Intelligence,RELEVANT,upper-computing,[software engineering]
10.1109/ACCESS.2025.3554627,A Bibliometric Exposition and Review on Leveraging LLMs for Programming Education,RELEVANT,lower-computing,[introductory programming]
10.1109/ICSA59870.2024.00016,Can LLMs Generate Architectural Design Decisions? - An Exploratory Empirical Study,NOT_RELEVANT,,[N/A]
10.1109/SoutheastCon52093.2024.10500042,Transformative Potentials and Ethical Considerations of AI Tools in Higher Education: Case Studies and Reflections,RELEVANT,lower-computing,[programming]
10.1109/APSEC65559.2024.00069,Pair Programming in Programming Courses in the Era of Generative AI: Students' Perspective,RELEVANT,lower-computing,[CS1 and CS2]
10.1109/FIE58773.2023.10343474,Leveraging the Power of AI in Undergraduate Computer Science Education: Opportunities and Challenges,RELEVANT,lower-computing,[undergraduate computer science]
10.1109/CIEES62939.2024.10811132,Leveraging AI for CTF Challenge Optimization,NOT_RELEVANT,,[N/A]
10.1109/FIE61694.2024.10892891,"Generative AI in Education: A Study of Educators' Awareness, Sentiments, and Influencing Factors",NOT_RELEVANT,,[N/A]
10.1109/EDUCON62633.2025.11016317,Enhancing Computational Thinking and Problemsolving in Programming Education Through Generative AI: A Scoped Review,RELEVANT,lower-computing,programming education
10.1109/CSEET62301.2024.10663028,Cultivating Software Quality Improvement in the Classroom: An Experience with ChatGPT,RELEVANT,upper-computing,software engineering
10.1109/EDUCON54358.2023.10125121,Engineering Education in the Era of ChatGPT: Promise and Pitfalls of Generative AI for Education,NOT_RELEVANT,,[N/A]
10.1109/EDUCON62633.2025.11016616,Empowering Educators: Towards a GPT-Based Approach to Automate Unit Test Generation,RELEVANT,upper-computing,programming education
10.1109/MIPRO60963.2024.10569779,Generative Artificial Intelligence in Teaching and Learning of ICT Engineering Education: A Literature Review and Illustrative Scenarios,NOT_RELEVANT,,[N/A]
10.1109/CSEET62301.2024.10662990,A Survey Study on the State of the Art of Programming Exercise Generation Using Large Language Models,NOT_RELEVANT,,[N/A]
10.1109/ITHET61869.2024.10837661,The NAJEH Effect: How ChatGPT is Shaping the Future of Higher Education,NOT_RELEVANT,,[N/A]
10.1109/ICSET59111.2023.10295122,Information Seeking Behavior in ChatGPT: The Case of Programming Students from a Developing Economy,RELEVANT,lower-computing,programming courses
10.1109/EDUCON60312.2024.10578820,The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering,RELEVANT,upper-computing,computer science and engineering
10.1109/CSEET62301.2024.10663035,University Students' Perception and Expectations of Generative AI Tools for Software Engineering,RELEVANT,upper-computing,[software engineering]
10.1109/ACCESS.2024.3524102,Understanding ChatGPT: Impact Analysis and Path Forward for Teaching Computer Science and Engineering,RELEVANT,upper-computing,[computer engineering and related majors]
10.1109/ICEIT64364.2025.10975909,Design and Implementation of a Multi-Level Personalized Teaching Framework Based on LLM,NOT_RELEVANT,,[N/A]
10.1109/ICCA59364.2023.10401713,The Influence of ChatGPT on Student Learning and Academic Performance,NOT_RELEVANT,,[N/A]
