DOI,Title,Predicted_Course
10.1145/3717512.3717515,Understanding Misunderstandings: Evaluating LLMs on Networking Questions,Computer Networks
10.1145/3713081.3731731,Kitten: A Simple Yet Effective Baseline for Evaluating LLM-Based Compiler Testing Techniques,Compilers
10.1145/3722237.3722260,Generative AI Integrated Educational Model for User-Centered Design,Human-Computer Interaction
10.1109/TLT.2024.3396735,Toward an AI Knowledge Assistant for Context-Aware Learning Experiences in Software Capstone Project Development,Software Engineering
10.1145/3639474.3640052,"LLMs Still Can't Avoid Instanceof: An Investigation Into GPT-3.5, GPT-4 and Bard's Capacity to Handle Object-Oriented Programming Assignments",Object-oriented Programming
10.1109/FIE61694.2024.10892822,Integrating Generative AI with Data Structures and Algorithm Analysis Course Homework,Algorithms and Data Structures
10.1109/FIE61694.2024.10893343,Enhancing User Story Generation in Agile Software Development Through Open AI and Prompt Engineering,Software Engineering
10.1109/FIE61694.2024.10893452,A Data Science Course Utilizing GenAI,Data Science
10.1109/FIE58773.2023.10342898,Generating Multiple Choice Questions for Computing Courses Using Large Language Models,Computing Education
10.1109/CSEET62301.2024.10663045,Towards Integrating Emerging AI Applications in SE Education,Software Engineering
10.1109/OJIES.2024.3412222,The Relevance of Large Language Models for Project Management,Artificial Intelligence Applications in Project Management
10.1109/FIE61694.2024.10893046,Integrating Conversational Large Language Models into Student Learning: A Case Study of ChatGPT in Software Engineering Education,Software Engineering
10.1109/FIE61694.2024.10892858,Incorporating AI in the Teaching of Requirements Tracing Within Software Engineering,Software Engineering
10.1109/CSEET58097.2023.00030,Investigating the Use of AI-Generated Exercises for Beginner and Intermediate Programming Courses: A ChatGPT Case Study,Introductory Programming
10.1109/FIE61694.2024.10893211,LLM-Enhanced Learning Environments for CS: Exploring Data Structures and Algorithms with Gurukul,Algorithms and Data Structures
10.1109/CSEET62301.2024.10663055,Leveraging Open Source LLMs for Software Engineering Education and Training,Software Engineering
10.1109/FIE61694.2024.10893118,A PBL-Based Mini Course Module for Teaching Computer Science Students to Utilize Generative AI for Enhanced Learning,Artificial Intelligence
10.1109/TVCG.2024.3456363,StuGPTViz: A Visual Analytics Approach to Understand Student-ChatGPT Interactions,Data Visualization
10.1109/TE.2024.3467912,An LLM-Driven Chatbot in Higher Education for Databases and Information Systems,Human-Computer Interaction
10.1109/QRS60937.2023.00028,On ChatGPT: Perspectives from Software Engineering Students,Software Engineering
10.1109/CSEET62301.2024.10663054,Navigating the AI Frontier: A Critical Literature Review on Integrating Artificial Intelligence into Software Engineering Education,Software Engineering
10.1109/FIE61694.2024.10893333,Use of Generative Artificial Intelligence in the Education of Software Verification and Validation,Software Engineering
10.1109/FIE61694.2024.10893139,Work-in-Progress: Course-based Undergraduate Research Experience (CURE) with Generative AI in a Computer Science Course,Machine Learning
10.1109/MPRV.2023.3346548,Integrating Generative Artificial Intelligence to a Project-Based Tangible Interaction Course,Human-Computer Interaction
10.1109/VL-HCC57772.2023.00018,"Exploring the Role of AI Assistants in Computer Science Education: Methods, Implications, and Instructor Perspectives",Computer Science Education
10.1109/RE57278.2023.00045,Inconsistency Detection in Natural Language Requirements using ChatGPT: a Preliminary Evaluation,Software Engineering
10.1109/EDUCON62633.2025.11016382,GenAI-Empowered Group-Based Authentic Assessment for Network Engineering Courses,Computer Networks
10.1109/CSEET62301.2024.10662994,Using Generative AI to Create User Stories in the Software Engineering Classroom,Software Engineering
10.1109/RITA.2024.3381842,Analysis of ChatGPT Performance in Computer Engineering Exams,Software Engineering
10.1109/EDUCON62633.2025.11016463,"ChatGPT as a Programming Tutor: Student Perceptions, Effectiveness, and Challenges",Introductory Programming
10.1109/EDUCON60312.2024.10578680,On the Impact of ChatGPT on Teaching and Studying Software Engineering,Software Engineering
10.1109/ICCIT63348.2025.10989326,An Investigation into ChatGPT-Based Instructional Feedback on Programming Projects,Human-Computer Interaction
10.1109/FIE61694.2024.10893407,WIP: ARTful Insights from a Pilot Study on GPT-Based Automatic Code Reviews in Undergraduate Computer Science Programs,Software Engineering
10.1109/ESEM56168.2023.10304857,Evaluating the Impact of ChatGPT on Exercises of a Software Security Course,Computer Security
10.1109/ICEED62316.2024.10923772,Evaluating the Impact of Unrestricted GenAI Usage on Experiential-Based Learning,Entrepreneurship in Technology
10.1109/FIE61694.2024.10893294,Enhancing CS Education with LAs Using AI-Empowered AIELA Program,Computer Science Education
10.1109/VL/HCC60511.2024.00022,ChatGPT in Data Visualization Education: A Student Perspective,Data Visualization
10.1109/FIE61694.2024.10893214,WIP: Assessing the Effectiveness of ChatGPT in Preparatory Testing Activities,Software Testing
10.1109/FIE58773.2023.10342970,Work-in-Progress: Integrating Generative AI with Evidence-based Learning Strategies in Computer Science and Engineering Education,Educational Technology in Computer Science
10.1109/CSEET62301.2024.10663042,Using Generative Artificial Intelligence Tools in Software Engineering Courses,Software Engineering
10.1109/IJCNN60899.2024.10651492,Teaching UML using a RAG-based LLM,Software Engineering
10.1109/FIE61694.2024.10893284,WIP: Enhancing Career Preparedness Through a Software Engineering Capstone Course Design,Software Engineering
10.1109/ITHET61869.2024.10837605,Enhancing Student Learning in Scrum Projects with Generative AI Assistance,Software Engineering
10.1109/FIE58773.2023.10343052,"With ChatGPT, Do We have to Rewrite Our Learning Objectives - CASE Study in Cybersecurity",Computer Security
10.1109/RE59067.2024.00049,Requirements are All You Need: From Requirements to Code with LLMs,Software Engineering
10.1109/SSE62657.2024.00046,How LLMs Aid in UML Modeling: An Exploratory Study with Novice Analysts,Software Engineering
10.1109/ISET61814.2024.00019,Integrating Generative AI in Software Engineering Education: Practical Strategies,Software Engineering
10.1109/RE59067.2024.00056,Using LLMs in Software Requirements Specifications: An Empirical Evaluation,Software Engineering
10.1109/ISEC61299.2024.10664905,Teaching Security in the Era of Generative AI: A Course Design of Security + ChatGPT,Computer Security
10.1145/3639474.3640061,AI-Tutoring in Software Engineering Education: Experiences with Large Language Models in Programming Assessments,Software Engineering
10.1109/FIE61694.2024.10893530,Challenges and Preferences of Learning Machine Learning: A Student Perspective,Machine Learning
10.1109/EDUCON60312.2024.10578869,Experiences and Proposals of Use of Generative AI in Advanced Software Courses,Software Engineering
10.1109/ICETA63795.2024.10850830,Using Machine Learning Concepts with ControlNet for Educational Advancements,Machine Learning
10.1109/TLT.2024.3392896,Scaffolding Computational Thinking With ChatGPT,Introductory Programming
10.1109/FIE61694.2024.10892918,Integrating Personalized AI-Assisted Instruction Into Remote Laboratories: Enhancing Engineering Education with OpenAI's GPT Models,Digital Design
10.1109/EDUCON62633.2025.11016449,Ai-Assisted Multiple-Choice Questions Generation with Multimodal Large Language Models in Engineering Higher Education,Educational Technology
10.1109/FIE58773.2023.10342985,Exploring NLP-Based Methods for Generating Engineering Ethics Assessment Qualitative Codebooks,Natural Language Processing (NLP)
10.1109/TLT.2024.3386095,ChatGPT for Learning HCI Techniques: A Case Study on Interviews for Personas,Human-Computer Interaction
10.1109/EDUNINE62377.2025.10981323,Tool-Based Retrieval-Augmented Generative as an Automated Assistant in Object-Oriented Programming Course,Object-oriented Programming
10.1109/UBMK63289.2024.10773596,Are We Asking the Right Questions to ChatGPT for Learning Software Design Patterns?,Software Engineering
10.1109/CAISAIS59399.2023.10270477,Roadmap for Software Engineering Education using ChatGPT,Software Engineering
10.1109/ICETA63795.2024.10850835,AI-Based Assistant: LLMs for Effective Robotics Education and Research,Robotics
10.1109/ACCESS.2025.3532883,"Generative Artificial Intelligence in Computer Programming: Does It Enhance Learning, Motivation, and the Learning Environment?",Introductory Programming
10.1109/SCCC63879.2024.10767612,Enhancing Agile Project Management Education with AI: ChatGPT-4's Role in Evaluating Student Contributions,Software Engineering
10.1109/CSEET62301.2024.10663027,ChatGPT's Aptitude in Utilizing UML Diagrams for Software Engineering Exercise Generation,Software Engineering
10.1109/ICA-ACCA62622.2024.10766746,Effectiveness of Generative Artificial Intelligence in learning programming to higher education students,Introductory Programming
10.1109/DSA59317.2023.00087,The Impact of ChatGPT on Software Engineering Education: A Quick Peek,Software Engineering
10.1109/FIE61694.2024.10892909,Interactive Framework for Cybersecurity Education and Future Workforce Development,Computer Security
10.1109/ASE56229.2023.00217,A Comparative Study of Transformer-Based Neural Text Representation Techniques on Bug Triaging,Software Engineering
10.1109/ITHET61869.2024.10837600,Gauging the Capability of Artificial Intelligence Chatbot Tools to Answer Textbook Coursework Exercises in Circuit Design Education,Circuit Design
10.1109/MODELS-C59198.2023.00034,Generative AI in Model-Driven Software Engineering Education: Friend or Foe?,Software Engineering
10.1109/MSP.2024.3388166,A Signal Processor Teaches Generative Artificial Intelligence [SP Education],Computational Creativity
10.1109/AICT61888.2024.10740416,Exploring the Potential Use of Generative AI in Software Engineering Education,Software Engineering
10.1109/SoutheastCon56624.2025.10971486,Text2Net: Transforming Plain-text to a Dynamic Interactive Network Simulation Environment,Computer Networks
10.1109/ITHET61869.2024.10837671,Innovative Approach to Agile Education: Generative AI-Supported Planning Poker Simulation,Software Engineering
10.1109/CSEET62301.2024.10662985,FeedbackPulse: GPT-Enabled Feedback Assistant for Software Engineering Educators,Software Engineering
10.1145/3597503.3639201,How Far Are We? The Triumphs and Trials of Generative AI in Learning Software Engineering,Software Engineering
10.1109/MS.2024.3385309,Generative AI in the Software Modeling Classroom: An Experience Report With ChatGPT and Unified Modeling Language,Software Engineering
10.1109/SCAM63643.2024.00031,GitRev: An LLM-Based Gamification Framework for Modern Code Review Activities,Software Engineering
10.1109/MCG.2025.3570722,Ethical Considerations and Implications of Generative AI in Computer Graphics,Computer Graphics
