DOI,Title,Predicted_Course
10.1109/CSCE60160.2023.00172,Analyzing ChatGPT's Aptitude in an Introductory Computer Engineering Course,Introductory Computer Engineering
10.1109/NextComp63004.2024.10779794,Using GPT-4 to Tutor Python Programming in Shona and Ndebele in Zimbabwe,Introductory Programming
10.1109/ICSTW58534.2023.00078,ChatGPT and Software Testing Education: Promises & Perils,Software Testing
10.1109/FIE61694.2024.10892932,First-Year Engineering Students' Expertise and Trust in GenAl,Human-Computer Interaction
10.1109/AIRoSIP58759.2023.10873911,Knowledge Acquisition from Student Lecture Reflection Data: Leveraging Large Language Models and Tacit Knowledge,Educational Technology
10.1109/ACCESS.2024.3380909,Students’ Experiences of Using ChatGPT in an Undergraduate Programming Course,Introductory Programming
10.1109/EMR.2025.3577913,Application of Gemini in Public Health Amid the Artificial Intelligence Era,Artificial Intelligence
10.1109/FIE58773.2023.10343337,Work in Progress: Safeguarding Authenticity: Strategies for Combating AI-Generated Plagiarism in Academia,Academic Integrity in Computer Science Education
10.1109/ICSA-C63560.2024.00059,State of Practice: LLMs in Software Engineering and Software Architecture,Software Engineering
10.1109/BigData62323.2024.10825051,Dynamic Intelligence Assessment: Benchmarking LLMs on the Road to AGI with a Focus on Model Confidence,Artificial Intelligence
10.1109/CSEET62301.2024.10662994,Using Generative AI to Create User Stories in the Software Engineering Classroom,Software Engineering
10.1109/AAIAC60008.2023.10465435,Using GPT-4 to Tutor Java Programming in Amharic,Object-oriented Programming
10.1109/ISCID59865.2023.00024,How important is Trust: Exploring the Factors Influencing College Students' Use of Chat GPT as a Learning Aid,Human-Computer Interaction
10.1109/RITA.2024.3381842,Analysis of ChatGPT Performance in Computer Engineering Exams,Software Engineering
10.1109/MIPRO60963.2024.10569779,Generative Artificial Intelligence in Teaching and Learning of ICT Engineering Education: A Literature Review and Illustrative Scenarios,Educational Technology in ICT Engineering
10.1109/ACCESS.2025.3570649,"Transforming Education With Large Language Models: Trends, Themes, and Untapped Potential",Artificial Intelligence in Education
10.1109/TNNLS.2024.3501335,SinKD: Sinkhorn Distance Minimization for Knowledge Distillation,Machine Learning
10.1109/CSEET62301.2024.10662990,A Survey Study on the State of the Art of Programming Exercise Generation Using Large Language Models,Educational Technology
10.1109/ITHET61869.2024.10837662,Analyzing Communication Logs in Pair Programming: A Comparison of Human- and LLM-Based Approaches,Software Engineering
10.1109/ITHET61869.2024.10837661,The NAJEH Effect: How ChatGPT is Shaping the Future of Higher Education,Educational Technology
10.1109/ICSET59111.2023.10295122,Information Seeking Behavior in ChatGPT: The Case of Programming Students from a Developing Economy,Human-Computer Interaction
10.1109/ESIC60604.2024.10481602,Detection of AI-Generated Text Using Large Language Model,Natural Language Processing
10.1109/TSE.2024.3519464,Look Before You Leap: An Exploratory Study of Uncertainty Analysis for Large Language Models,Machine Learning
10.1109/ACCESS.2024.3383020,Advancing Tinnitus Therapeutics: GPT-2 Driven Clustering Analysis of Cognitive Behavioral Therapy Sessions and Google T5-Based Predictive Modeling for THI Score Assessment,Machine Learning
10.1109/EDUCON62633.2025.11016290,Leveraging AI Chatbots to Enhance Student Understanding of Electric Circuits,Human-Computer Interaction
10.1109/ACCESS.2024.3445432,Does ChatGPT Help Novice Programmers Write Better Code? Results From Static Code Analysis,Introductory Programming
10.1109/ICEET65156.2024.10913535,Cloud SecNavigator: RAG Approach to Bridge Gaps and Strengthen Cloud Security Practices with RAGAS Assessment,Cloud Computing and Security
10.1109/TETCI.2024.3502465,Benchmarking Medical LLMs on Anesthesiology: A Comprehensive Dataset in Chinese,Natural Language Processing
10.1109/EDUCON60312.2024.10578820,The AI Companion in Education: Analyzing the Pedagogical Potential of ChatGPT in Computer Science and Engineering,Educational Technology in Computer Science
10.1109/AIRC61399.2024.10672220,When the Robotic Maths Tutor is Wrong - Can Children Identify Mistakes Generated by ChatGPT?,Human-Computer Interaction
10.1109/EDUCON62633.2025.11016463,"ChatGPT as a Programming Tutor: Student Perceptions, Effectiveness, and Challenges",Introductory Programming
10.1109/CSEET62301.2024.10663035,University Students' Perception and Expectations of Generative AI Tools for Software Engineering,Software Engineering
10.1109/SEEDA-CECNSM63478.2024.00031,Assessing the Impact of Integrating ChatGPT as an Advice Generator in Educational Software,Educational Technology
10.1109/ACCESS.2024.3524102,Understanding ChatGPT: Impact Analysis and Path Forward for Teaching Computer Science and Engineering,Educational Technology in Computer Science
10.1109/FIE61694.2024.10893514,WIP: Supporting Student Understanding of Finite Element Analysis and Computational Science: Classroom Scaffolding and ChatGPT,Computational Science
10.1109/TALE56641.2023.10398408,Grading Generative AI-based Assignments Using a 3R Framework,Educational Technology
10.1109/EDUCON60312.2024.10578680,On the Impact of ChatGPT on Teaching and Studying Software Engineering,Software Engineering
10.1109/ICCIT63348.2025.10989326,An Investigation into ChatGPT-Based Instructional Feedback on Programming Projects,Educational Technology in Computer Science
10.1109/AEECA62331.2024.00124,GPTutor: A Generative AI-powered Intelligent Tutoring System to Support Interactive Learning with Knowledge-Grounded Question Answering,Educational Technology
10.1109/ICARC61713.2024.10499744,Factors Affecting the Effectiveness of Generative Artificial Intelligence Apps on University Students' Programming Language Learning in Sri Lanka: A Systematic Literature Review,Introductory Programming
10.1109/ICEIT64364.2025.10975909,Design and Implementation of a Multi-Level Personalized Teaching Framework Based on LLM,Educational Technology
10.1109/VRW62533.2024.00266,First Steps in Constructing an AI-Powered Digital Twin Teacher: Harnessing Large Language Models in a Metaverse Classroom,Human-Computer Interaction
10.1109/ICCA59364.2023.10401713,The Influence of ChatGPT on Student Learning and Academic Performance,Educational Technology
10.1109/IIPEM62726.2024.10925748,A Novel LLM enabled Code Snippet Generation Framework,Natural Language Processing
10.1109/EDUCON60312.2024.10578564,Software Development and Education: Transitioning Towards AI Enhanced Teaching,Software Engineering
10.1109/FIE61694.2024.10893407,WIP: ARTful Insights from a Pilot Study on GPT-Based Automatic Code Reviews in Undergraduate Computer Science Programs,Software Engineering
10.1109/ESEM56168.2023.10304857,Evaluating the Impact of ChatGPT on Exercises of a Software Security Course,Computer Security
10.1109/TLT.2024.3392830,A Human-Centered Learning and Teaching Framework Using Generative Artificial Intelligence for Self-Regulated Learning Development Through Domain Knowledge Learning in K–12 Settings,Educational Technology
10.1109/EDUCON60312.2024.10578884,ChatGPT in the Classroom: A Shift in Engineering Design Education,Human-Computer Interaction
10.1109/ICEED62316.2024.10923772,Evaluating the Impact of Unrestricted GenAI Usage on Experiential-Based Learning,Entrepreneurship in Engineering
10.1109/FIE61694.2024.10893294,Enhancing CS Education with LAs Using AI-Empowered AIELA Program,Computer Science Education
10.1109/TLT.2024.3464560,Investigating the Efficacy of ChatGPT-3.5 for Tutoring in Chinese Elementary Education Settings,Artificial Intelligence in Education
10.1109/VL/HCC60511.2024.00022,ChatGPT in Data Visualization Education: A Student Perspective,Data Visualization
10.1109/FIE61694.2024.10893214,WIP: Assessing the Effectiveness of ChatGPT in Preparatory Testing Activities,Software Testing
10.1109/ICITDA60835.2023.10427187,Usability Testing of ChatGPT Website as a Medium for Task Collaboration Using the System Usability Scale Method (SUS),Human-Computer Interaction
10.1109/FIE61694.2024.10893132,GAIDE: A Framework for Using Generative AI to Assist in Course Content Development,Educational Technology
10.1109/CSCI62032.2023.00278,ChatGPT Implications on Higher Education: Educational Apocalypse or Educational Reboot? A Developing Countries Perspective,Educational Technology
10.1109/ACCESS.2024.3521945,Navigating the Ethical Terrain of AI-Generated Text Tools: A Review,Ethics in AI
10.1109/CONISOFT63288.2024.00048,Exploring LLM Tools Through the Eyes of Industry Experts and Novice Programmers,Software Engineering
10.1109/EDUCON60312.2024.10578855,Unveiling the Impact of Large Language Models on Student Learning: A Comprehensive Case Study,Educational Technology
10.1109/FIE58773.2023.10342970,Work-in-Progress: Integrating Generative AI with Evidence-based Learning Strategies in Computer Science and Engineering Education,Educational Technology in Computer Science
10.1109/DEMOcon63027.2024.10747947,Generative Artificial Intelligence Driving More Efficient and Effective Course Optimizations,Educational Technology
10.1109/EDUCON62633.2025.11016479,Generative AI in Undergraduate Classrooms: Lessons from Implementing a Customized GPT Chatbot for Learning Enhancement,Educational Technology
10.1109/FIT60620.2023.00047,Exploring the potential of large-language models (LLMs) for student feedback sentiment analysis,Natural Language Processing
10.1109/CAI59869.2024.00223,Scaffolding Language Learning via Multi-modal Tutoring Systems with Pedagogical Instructions,Educational Technology
10.1109/BigData59044.2023.10386291,Large Language Models in Education: Vision and Opportunities,Artificial Intelligence in Education
10.1109/ICSE-NIER66352.2025.00028,LLMs as Evaluators: A Novel Approach to Commit Message Quality Assessment,Software Engineering
