doi,title,relevance,category,explanation
10.1145/3650212.3680384,AutoCodeRover: Autonomous Program Improvement,NOT_RELEVANT,,[Autonomous Program Improvement]
10.1145/3565287.3617630,MSVEC: A Multidomain Testing Dataset for Scientific Claim Verification,NOT_RELEVANT,,[Scientific Claim Verification]
10.1145/3626252.3630887,Learners Teaching Novices: An Uplifting Alternative Assessment,NOT_RELEVANT,lower-computing,[CS1 Topics]
10.1145/3628096.3628747,Investigating the Efficacy of Large Language Models in Reflective Assessment Methods through Chain of Thought Prompting,NOT_RELEVANT,,[Reflective Assessment Methods]
10.1145/3626253.3635356,How can We Leverage Static Analysis and Large Language Models to Engage Students in Software Quality Improvement,RELEVANT,upper-computing,[Software Quality Improvement]
10.1109/ICSE48619.2023.00194,Large Language Models are Few-Shot Testers: Exploring LLM-Based General Bug Reproduction,NOT_RELEVANT,,[General Bug Reproduction]
10.1145/3652988.3673941,LittleGenius: Co-Designing a GPT-4 Enhanced VR Pedagogical Framework with Teachers for Primary Education,NOT_RELEVANT,lower-computing,[Primary Education]
10.1145/3626253.3635522,Using Generative AI to Support PK-12 Teaching and Learning: Developing Sample Lessons and More,UNKNOWN,,No response found
10.1145/3626772.3657882,Beyond Accuracy: Investigating Error Types in GPT-4 Responses to USMLE Questions,UNKNOWN,,No response found
10.1145/3691016.3691051,Intelligent Chinese Character Learning Platform Integrating ChatGPT and OCR Text Recognition,UNKNOWN,,No response found
10.1145/3637528.3671552,EmoLLMs: A Series of Emotional Large Language Models and Annotation Tools for Comprehensive Affective Analysis,UNKNOWN,,No response found
10.1145/3689535.3689552,"Secondary Students' Emerging Conceptions of AI: Understanding AI Applications, Models, Engines and Implications",UNKNOWN,,No response found
10.1145/3611643.3613892,InferFix: End-to-End Program Repair with LLMs,UNKNOWN,,No response found
10.1145/3663529.3663869,Do Large Language Models Recognize Python Identifier Swaps in Their Generated Code?,UNKNOWN,,No response found
10.1145/3626203.3670588,Integrating High Performance Computing into Higher Education and the Pedagogy of Cluster Computing,UNKNOWN,,No response found
10.1145/3626253.3635604,Measuring CS Student Attitudes Toward Large Language Models,UNKNOWN,,No response found
10.1145/3649165.3703622,How Do You Solve A Problem Like Recruitment? On The Hiring and Retention of Computing Academics,UNKNOWN,,No response found
10.1145/3691620.3695307,The Software Genome Project: Unraveling Software Through Genetic Principles,UNKNOWN,,No response found
10.1145/3675094.3677573,"Interactive Design with Autistic Children using LLM and IoT for Personalized Training: The Good, The Bad and The Challenging",UNKNOWN,,No response found
10.1145/3643991.3645070,Write me this Code: An Analysis of ChatGPT Quality for Producing Source Code,UNKNOWN,,No response found
10.1145/3691620.3695061,What Makes a High-Quality Training Dataset for Large Language Models: A Practitioners' Perspective,UNKNOWN,,No response found
10.1109/ASE56229.2023.00076,Domain Adaptive Code Completion via Language Models and Decoupled Domain Databases,UNKNOWN,,No response found
10.1109/SC41406.2024.00076,Revisiting Computation for Research: Practices and Trends,UNKNOWN,,No response found
10.1145/3664647.3681053,"CT2C-QA: Multimodal Question Answering over Chinese Text, Table and Chart",UNKNOWN,,No response found
10.1145/3691621.3694934,SALLM: Security Assessment of Generated Code,UNKNOWN,,No response found
10.1145/3639474.3640065,Beyond Functional Correctness: An Exploratory Study on the Time Efficiency of Programming Assignments,UNKNOWN,,No response found
10.1145/3630106.3658942,Escalation Risks from Language Models in Military and Diplomatic Decision-Making,UNKNOWN,,No response found
10.1145/3689535.3689537,Investigating the Use of ChatGPT to Support the Learning of Python Programming Among Upper Secondary School Students: A Design-Based Research Study,RELEVANT,lower-computing,[introductory programming]
10.1145/3613904.3642887,BIDTrainer: An LLMs-driven Education Tool for Enhancing the Understanding and Reasoning in Bio-inspired Design,NOT_RELEVANT,upper-computing,inspired design]
10.1145/3660043.3660191,Exploration of Multi-round Dialogue Function of International Chinese Education Robot Based on LLM,NOT_RELEVANT,,[international Chinese education]
10.1145/3639478.3641226,Program Decomposition and Translation with Static Analysis,NOT_RELEVANT,upper-computing,[software engineering]
10.1145/3613904.3642135,"“As an AI language model, I cannot”: Investigating LLM Denials of User Requests",NOT_RELEVANT,,[general LLM user interaction]
10.1145/3571884.3604310,Exploring Usability Issues in Instruction-Based and Schema-Based Authoring of Task-Oriented Dialogue Agents,NOT_RELEVANT,upper-computing,[spoken dialogue systems]
10.1145/3587103.3594155,Checking Conformance to a Subset of the Python Language,RELEVANT,lower-computing,[introductory programming]
10.1145/3611643.3613891,Assess and Summarize: Improve Outage Understanding with Large Language Models,NOT_RELEVANT,upper-computing,[cloud systems]
10.1145/3657604.3664685,Short answer scoring with GPT-4,NOT_RELEVANT,,[general education]
10.1145/3637528.3671620,AutoWebGLM: A Large Language Model-based Web Navigating Agent,NOT_RELEVANT,,[web navigation]
10.1109/ASE56229.2023.00217,A Comparative Study of Transformer-Based Neural Text Representation Techniques on Bug Triaging,NOT_RELEVANT,upper-computing,[software maintenance]
10.1145/3677388.3696321,From Words to Worlds: Transforming One-line Prompts into Multi-modal Digital Stories with LLM Agents,NOT_RELEVANT,,[digital storytelling]
10.1145/3613905.3650770,Young Children's Creative Storytelling with ChatGPT vs. Parent: Comparing Interactive Styles,NOT_RELEVANT,,[creative storytelling]
10.1145/3478432.3499265,"Run, Llama, Run: A Collaborative Physical and Online Coding Game for Children",NOT_RELEVANT,lower-computing,5 computer science education]
10.1145/3691620.3695318,AgoneTest: Automated creation and assessment of Unit tests leveraging Large Language Models,NOT_RELEVANT,upper-computing,[software development]
10.1145/3644815.3644945,Seven Failure Points When Engineering a Retrieval Augmented Generation System,NOT_RELEVANT,upper-computing,[software engineering]
10.1145/3649217.3653557,Chatbot Development Using LangChain: A Case Study to Foster Critical Thinking and Creativity,RELEVANT,upper-computing,[database course]
10.1145/3649921.3659840,The Curation Tree: A Lightweight Behavior Tree Framework for Implementing Puzzle and Narrative Games,NOT_RELEVANT,upper-computing,[game development]
10.1145/3610969.3610973,Are You Ready to Teach AI in Schools? Teachers' Perspectives of Teaching AI in K-12 Settings,NOT_RELEVANT,,12]
10.1145/3654777.3676347,VizGroup: An AI-assisted Event-driven System for Collaborative Programming Learning Analytics,RELEVANT,lower-computing,[programming courses]
10.1145/3691620.3695322,Bridging Gaps in LLM Code Translation: Reducing Errors with Call Graphs and Bridged Debuggers,NOT_RELEVANT,upper-computing,[N/A]
10.1145/3626253.3635414,"Revolutionizing Student Engagement and Enrollment through Personalized, AI-Driven Dialog Systems in Higher Education",NOT_RELEVANT,,[N/A]
10.1145/3658644.3670392,"On the Detectability of ChatGPT Content: Benchmarking, Methodology, and Evaluation through the Lens of Academic Writing",NOT_RELEVANT,,[N/A]
10.1145/3678610.3678631,Artificial Intelligence in Physics Courses to Support Active Learning,NOT_RELEVANT,,[N/A]
10.1145/3613904.3642459,Generative Echo Chamber? Effect of LLM-Powered Search Systems on Diverse Information Seeking,NOT_RELEVANT,,[N/A]
10.1145/3587102.3588827,On the Educational Impact of ChatGPT: Is Artificial Intelligence Ready to Obtain a University Degree?,RELEVANT,upper-computing,oriented specialization]
10.1145/3626252.3630875,Improved Program Repair Methods using Refactoring with GPT Models,RELEVANT,lower-computing,[introductory programming course]
10.1145/3660650.3660673,Can You Spot the AI? Incorporating GenAI into Technical Writing Assignments,RELEVANT,upper-computing,[professional responsibility and technical writing course]
10.1145/3663529.3663829,AgraBOT: Accelerating Third-Party Security Risk Management in Enterprise Setting through Generative AI,NOT_RELEVANT,,[N/A]
10.1145/3663533.3664042,Graph Neural Network vs. Large Language Model: A Comparative Analysis for Bug Report Priority and Severity Prediction,NOT_RELEVANT,,[N/A]
10.1145/3657604.3664682,A Proposed Model of Learners' Acceptance and Trust of Pedagogical Conversational AI,NOT_RELEVANT,,[N/A]
10.1145/3657604.3664698,Scaling High-Leverage Curriculum Scaffolding in Middle-School Mathematics,NOT_RELEVANT,,[N/A]
10.1145/3675094.3678991,DeepVision: Heads-up Computing and AI in Education,NOT_RELEVANT,,[N/A]
10.1145/3540250.3569444,"AI-assisted programming: applications, user experiences, and neuro-symbolic techniques (keynote)",NOT_RELEVANT,,[N/A]
10.1145/3626253.3633418,AI Enhanced Learning: Powering Curated Videos with Generative Intelligence,RELEVANT,upper-computing,[computer science courses]
10.1145/3691620.3695299,RepoSim: Evaluating Prompt Strategies for Code Completion via User Behavior Simulation,NOT_RELEVANT,,[N/A]
10.1145/3627673.3679760,SINKT: A Structure-Aware Inductive Knowledge Tracing Model with Large Language Model,NOT_RELEVANT,,[N/A]
10.1145/3613904.3641895,The HaLLMark Effect: Supporting Provenance and Transparent Use of Large Language Models in Writing with Interactive Visualization,NOT_RELEVANT,,[N/A]
10.1145/3691620.3695518,ChatBR: Automated assessment and improvement of bug report quality using ChatGPT,NOT_RELEVANT,,[N/A]
10.1145/3641523.3665172,Algorithmic Amplification,NOT_RELEVANT,,[N/A]
10.1145/3626253.3635595,Generative AI as a Resource for Creativity in Computational Physics,RELEVANT,upper-computing,[computational physics course]
10.1145/3627673.3679229,DiaKoP: Dialogue-based Knowledge-oriented Programming for Neural-symbolic Knowledge Base Question Answering,NOT_RELEVANT,,[N/A]
10.1145/3639474.3640059,Experience Report: Identifying common misconceptions and errors of novice programmers with ChatGPT,RELEVANT,lower-computing,[introductory programming]
10.1145/3605098.3636053,An Experiment in Retrofitting Competency Questions for Existing Ontologies,RELEVANT,upper-computing,[ontology engineering]
10.1145/3643991.3645082,Analyzing Developer-ChatGPT Conversations for Software Refactoring: An Exploratory Study,RELEVANT,upper-computing,[software development]
10.1145/3627217.3627221,Leveraging Large Language Models for Analysis of Student Course Feedback,NOT_RELEVANT,,[N/A]
10.1145/3710795.3710797,The Book Review Column,NOT_RELEVANT,,[N/A]
10.1145/3613904.3642041,"Scientific and Fantastical: Creating Immersive, Culturally Relevant Learning Experiences with Augmented Reality and Large Language Models",NOT_RELEVANT,,[N/A]
10.1145/3640310.3674093,A DSL for Testing LLMs for Fairness and Bias,NOT_RELEVANT,,[N/A]
10.1145/3649405.3659534,How Instructors Incorporate Generative AI into Teaching Computing,RELEVANT,upper-computing,[computing curricula]
10.1145/3613904.3642731,Art or Artifice? Large Language Models and the False Promise of Creativity,NOT_RELEVANT,,[N/A]
10.1145/3687311.3687403,What is the AIGC-assisted learning experience like? -- A study based on conceptual understanding,RELEVANT,upper-computing,[conceptual understanding]
10.1145/3685767.3685777,"Big Data: Past, Present, and Future Insights",NOT_RELEVANT,,[N/A]
10.1145/3701625.3701675,Investigating Software Development Teams Members' Perceptions of Data Privacy in the Use of Large Language Models (LLMs),NOT_RELEVANT,,[N/A]
10.1145/3639478.3640024,TestSpark: IntelliJ IDEA's Ultimate Test Generation Companion,RELEVANT,upper-computing,[software testing]
10.1145/3626253.3635618,Restorying with AI Art among Latinx Elementary Students,NOT_RELEVANT,,[N/A]
10.1145/3672393,Lexical Semantic Change through Large Language Models: a Survey,NOT_RELEVANT,,[N/A]
10.1145/3613904.3642336,The Illusion of Empathy? Notes on Displays of Emotion in Human-Computer Interaction,NOT_RELEVANT,,[N/A]
10.1145/3643795.3648387,LLMs for Relational Reasoning: How Far are We?,NOT_RELEVANT,,[N/A]
10.1109/ICSE-Companion58688.2023.00075,Towards an AI-Centric Requirements Engineering Framework for Trustworthy AI,NOT_RELEVANT,,[N/A]
10.1145/3640471.3680444,AuditNet: Conversational AI Security Assistant,NOT_RELEVANT,,[N/A]
10.1145/3586182.3625219,Smart-Pikachu: Extending Interactivity of Stuffed Animals with Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3654777.3676450,Who Validates the Validators? Aligning LLM-Assisted Evaluation of LLM Outputs with Human Preferences,NOT_RELEVANT,,[N/A]
10.1145/3661167.3661171,Agent-Driven Automatic Software Improvement,NOT_RELEVANT,,[N/A]
10.1145/3544548.3580885,Embodying the Algorithm: Exploring Relationships with Large Language Models Through Artistic Performance,NOT_RELEVANT,,[N/A]
10.1145/3690712.3690720,An empirical study to understand how students use ChatGPT for writing essays and how it affects their ownership,NOT_RELEVANT,,[N/A]
10.1145/3640457.3688023,Towards Symbiotic Recommendations: Leveraging LLMs for Conversational Recommendation Systems,NOT_RELEVANT,,[N/A]
10.1145/3633083.3633220,Personalised Programming Education with Knowledge Tracing,RELEVANT,lower-computing,[introductory programming]
10.1145/3627673.3679665,Empowering Private Tutoring by Chaining Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3639701.3656324,Enhancing the Podcast Browsing Experience through Topic Segmentation and Visualization with Generative AI,NOT_RELEVANT,,[N/A]
10.1145/3613905.3636293,Challenges and Opportunities of LLM-Based Synthetic Personae and Data in HCI,NOT_RELEVANT,,[N/A]
10.1145/3610977.3634970,PREDILECT: Preferences Delineated with Zero-Shot Language-based Reasoning in Reinforcement Learning,NOT_RELEVANT,,[N/A]
10.1145/3613904.3641965,"Towards AI-Driven Healthcare: Systematic Optimization, Linguistic Analysis, and Clinicians’ Evaluation of Large Language Models for Smoking Cessation Interventions",NOT_RELEVANT,,[N/A]
10.1145/3613905.3650799,"User Voices, Platform Choices: Social Media Policy Puzzle with Decentralization Salt",NOT_RELEVANT,,[N/A]
10.1145/3656650.3656747,Emerging approaches to human-robot collaboration in healthcare,NOT_RELEVANT,,[N/A]
10.1145/3660809,Mining Action Rules for Defect Reduction Planning,NOT_RELEVANT,,[N/A]
10.1145/3662739.3664740,Research on Computer Intelligent ChatGPT Natural Language Processing System Based on Scientific Knowledge Graph,NOT_RELEVANT,,[N/A]
10.1145/3633083.3633099,Exploring the Research Gap: Generative AI and Learning of Python Programming among Post-Primary Students,RELEVANT,lower-computing,[Python programming]
10.1145/3613904.3642580,Open Sesame? Open Salami! Personalizing Vocabulary Assessment-Intervention for Children via Pervasive Profiling and Bespoke Storybook Generation,NOT_RELEVANT,,[N/A]
10.1145/3644815.3644953,Welcome Your New AI Teammate: On Safety Analysis by Leashing Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3585060.3585063,Reflections on the Design of Systems that Impact Computers and Society,UNKNOWN,,No response found
10.1145/3659601,CrowdBot: An Open-Environment Robot Management System for On-Campus Services,UNKNOWN,,No response found
10.1145/3640794.3665538,Automating the Development of Task-oriented LLM-based Chatbots,UNKNOWN,,No response found
10.1145/3613904.3642545,"See Widely, Think Wisely: Toward Designing a Generative Multi-agent System to Burst Filter Bubbles",UNKNOWN,,No response found
10.1145/3702138.3702140,Combatting Senior Scams Using a Large Language Model-Created Rubric: This paper explains a novel approach to reinforcement learning designed for the detection and prevention of scams aimed at senior citizens,UNKNOWN,,No response found
10.1145/3674399.3674426,Grading Programming Assignments by Summarization,UNKNOWN,,No response found
10.1145/3571884.3604305,Exploring Design Opportunities for Reflective Conversational Agents to Reduce Compulsive Smartphone Use,UNKNOWN,,No response found
10.1145/3677619.3678114,Identifying Secondary School Students' Misconceptions about Machine Learning: An Interview Study,UNKNOWN,,No response found
10.1145/3639476.3639777,Exploring ChatGPT for Toxicity Detection in GitHub,UNKNOWN,,No response found
10.1145/3628162,Can Students without Prior Knowledge Use ChatGPT to Answer Test Questions? An Empirical Study,UNKNOWN,,No response found
10.1145/3624918.3625336,Retrieving Supporting Evidence for Generative Question Answering,UNKNOWN,,No response found
10.1145/3701625.3701659,Static and Dynamic Comparison of Mutation Testing Tools for Python,UNKNOWN,,No response found
10.1145/3635636.3664624,Experiential Tutorials: Designing Tutorial Authoring Tools to Facilitate Tacit Knowledge Exchange in Creative Practices,UNKNOWN,,No response found
10.1145/3672359.3672364,Towards a Catalog of Prompt Patterns to Enhance the Discipline of Prompt Engineering,UNKNOWN,,No response found
10.1145/3699773,PressInPose: Integrating Pressure and Inertial Sensors for Full-Body Pose Estimation in Activities,UNKNOWN,,No response found
10.1145/3589335.3651454,Unlocking the Potential of Health Data with Decentralised Search in Personal Health Datastores,UNKNOWN,,No response found
10.1145/3613905.3644062,ChatTL;DR – You Really Ought to Check What the LLM Said on Your Behalf,UNKNOWN,,No response found
10.1145/3675888.3676142,Democratizing GDPR Compliance: AI-Driven Privacy Policy Interpretation,UNKNOWN,,No response found
10.1145/3627673.3679783,Advances in Citation Text Generation: Leveraging Multi-Source Seq2Seq Models and Large Language Models,UNKNOWN,,No response found
10.1145/3627673.3679664,Mitigating Cold-Start Problems in Knowledge Tracing with Large Language Models: An Attribute-aware Approach,UNKNOWN,,No response found
10.1145/3638530.3654104,Local Search-based Approach for Cost-effective Job Assignment on Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3544549.3573826,The Second Workshop on Intelligent and Interactive Writing Assistants,NOT_RELEVANT,,[N/A]
10.1145/3613905.3636312,"Dark Sides: Envisioning, Understanding, and Preventing Harmful Effects of Writing Assistants - The Third Workshop on Intelligent and Interactive Writing Assistants",NOT_RELEVANT,,[N/A]
10.1145/3649409.3691083,ASAG2024: A Combined Benchmark for Short Answer Grading,NOT_RELEVANT,,[N/A]
10.1109/ASE56229.2023.00155,Merge Conflict Resolution: Classification or Generation?,NOT_RELEVANT,,[N/A]
10.1145/3658271.3658320,ChatGPT and Bard Performance on the POSCOMP Exam,NOT_RELEVANT,,[N/A]
10.1145/3545947.3576354,The Role of Sketching in Facilitating Problem Solving in Introductory Programming,NOT_RELEVANT,lower-computing,[introductory programming]
10.1145/3643795.3648395,PromptSet: A Programmer's Prompting Dataset,NOT_RELEVANT,,[N/A]
10.1145/3613905.3650767,Contextual AI Journaling: Integrating LLM and Time Series Behavioral Sensing Technology to Promote Self-Reflection and Well-being using the MindScape App,NOT_RELEVANT,,[N/A]
10.1145/3644815.3644948,LLMs for Test Input Generation for Semantic Applications,NOT_RELEVANT,,[N/A]
10.1145/3627673.3679711,Towards Coarse-grained Visual Language Navigation Task Planning Enhanced by Event Knowledge Graph,NOT_RELEVANT,,[N/A]
10.1145/3578527.3578530,A Code Centric Evaluation of C/C++ Vulnerability Datasets for Deep Learning Based Vulnerability Detection Techniques,NOT_RELEVANT,,[N/A]
10.1145/3643795.3648376,MoonBit: Explore the Design of an AI-Friendly Programming Language,NOT_RELEVANT,,[N/A]
10.1145/3644713.3644763,Enhancing Arabic Information Retrieval for Question Answering,NOT_RELEVANT,,[N/A]
10.1109/ASE56229.2023.00047,The Plastic Surgery Hypothesis in the Era of Large Language Models,NOT_RELEVANT,,[N/A]
10.1145/3577190.3614137,User Feedback-based Online Learning for Intent Classification,NOT_RELEVANT,,[N/A]
